business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Bar/Beer,Customer Service/Atmosphere,Burger/Fries,Chicken/Ribs/Sandwich,Brunch/Eggs,Order/Waiting Time
-Fq75GKdSKwhTVISzyc6rw,Three's Company Catering,Toronto,Greektown,43.678997499999994,-79.3442872,american,2.0,3.75,0.08741570662143618,0.11496742175786177,0.0157878259798012,0.02457250962854961,0.5743064982845595,0.18295003772779178
-TjzQsimpriXVYaH3HdtQA,Fanzone Wings & Ribs,Toronto,Scarborough,43.7530567,-79.27623359999998,american,2.0,4.395161290322581,0.448432228602987,0.1607875538538392,0.06719022989796863,0.2531951790772314,0.010439814428535293,0.059954994139438667
-W1bYeAk18xShlb6_Yb2Ig,Ciro's,Toronto,Bloordale Village,43.6584817,-79.4431203,american,2.0,3.0833333333333335,0.5050541751608694,0.14534593518773256,0.1219093362816905,0.02363526959870482,0.059267735916664406,0.14478754785433826
-Z7Oxv9nuPJI4ov4ufvvdA,Bon Appetit Cafe,Toronto,Downtown Core,43.652321,-79.37938,american,1.0,3.3333333333333335,0.39136039277279205,0.07937958057182411,0.0421592051021043,0.049913467590909026,0.10726533522415421,0.3299220187382162
-dOjdFq-kFhQTrG-yLYc_w,Maple Leaf Tavern,Toronto,Leslieville,43.668110799999994,-79.33980079999999,american,3.0,3.923076923076923,0.16934713272365626,0.24569146353223809,0.06944820908017646,0.0330478758151522,0.09151517082669532,0.39095014802208156
-llrUA_TlQTWH_CMM3NTNQ,KFC,Toronto,Mount Pleasant and Davisville,43.6992101,-79.386341,american,,2.0,0.09123691435994964,0.0,0.09590663526522616,0.45157871021437224,0.030717392190643466,0.3305603479698085
-rKuAcB5suEWKhcUiqr13w,AllStar Wings & Ribs,Toronto,Scarborough,43.7729455408,-79.2514597964,american,2.0,3.246376811594203,0.44820368389030185,0.14159391639043004,0.05501077419939175,0.1899995403487957,0.008818240746914731,0.15637384442416583
-zo0R_6vW6JlJeoX2GHA-w,Milestones Restaurants,Toronto,Willowdale,43.7687227,-79.41210190000001,american,2.0,3.1176470588235294,0.239553289010877,0.21840694996711127,0.1215566634103383,0.04342590249355839,0.07241162418270554,0.3046455709354095
0-ZA4TTKlHYGIQJj06G0-w,Loaded Pierogi,Toronto,St. Lawrence,43.647901,-79.373407,american,2.0,4.089041095890411,0.15589759617928725,0.20130734410765064,0.034175473751078565,0.24609742445319935,0.06438846268769087,0.2981336988210935
014FsLbXZrHg3k1LsRgElQ,Swiss Chalet Rotisserie & Grill,Toronto,Downsview,43.7269188129,-79.4804417493,american,2.0,2.6,0.11401546100054813,0.1440709349129133,0.003833558040571207,0.2536442752931391,0.06519300181037609,0.41924276894245216
0O3H5plJx-Cq2A80qFVW5w,LAB,Toronto,Little Italy,43.6549862,-79.4159745,american,3.0,3.764705882352941,0.08027735460592217,0.2259926331353815,0.011411856470952008,0.028052179362431585,0.06344569895017407,0.5908202774751387
0O3H5plJx-Cq2A80qFVW5w,LAB,Toronto,Little Italy,43.6549862,-79.4159745,italian,3.0,3.764705882352941,0.08027735460592217,0.2259926331353815,0.011411856470952008,0.028052179362431585,0.06344569895017407,0.5908202774751387
0Q0IgUtm3B0jnfj8YcCKfQ,Brockton General,Toronto,Little Portugal,43.6493943,-79.4263145,american,2.0,4.0588235294117645,0.11380256965983483,0.22270649582139457,0.04022354719838159,0.06012698932690806,0.13614586513699384,0.42699453285648714
0cpLF0LFQHHRFNlL0iy_Aw,Union Social Eatery,Toronto,Yonge and St. Clair,43.687794516400004,-79.3950692564,american,2.0,4.084905660377358,0.2022247288890115,0.29517764961232384,0.1412778679662238,0.10817686326942995,0.030176723582434714,0.2229661666805764
165eSyTOWmpfDfWDXo4f6A,The Chef's House,Toronto,Corktown,43.6508897483,-79.36917538760001,american,3.0,3.5483870967741935,0.08622326961452527,0.2078239287016081,0.005204831253802332,0.04995866187400618,0.03887688189476261,0.6119124266612955
1LysYiRg6lvwb76WHMfIyw,North Stars Bar & Grill,Toronto,Willowdale,43.776520899999994,-79.4144396,american,,3.5714285714285716,0.7037153928023118,0.07653142093849566,0.09338003537054142,0.05722568899246172,0.010292578302132673,0.058854883594056676
1PJpo48hSChCbriXEHGSjw,Opus Restaurant,Toronto,The Annex,43.6692085,-79.3972042,american,4.0,4.369565217391305,0.08166638524551652,0.30320757334382437,0.006341392092795818,0.01113393982259161,0.022453009884451015,0.5751976996108208
1PJpo48hSChCbriXEHGSjw,Opus Restaurant,Toronto,The Annex,43.6692085,-79.3972042,italian,4.0,4.369565217391305,0.08166638524551652,0.30320757334382437,0.006341392092795818,0.01113393982259161,0.022453009884451015,0.5751976996108208
1gBBumY1aO5x4ybRYWRacA,Island Cafe,Toronto,,43.630930600000006,-79.355836,american,2.0,3.6,0.2325328778487968,0.20782138656246268,0.08167549525890454,0.07660142654397077,0.11601599645399384,0.2853528173318713
