,business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Table Availability,Pizza/Crust,Pasta/Sauce,Customer Service,Waiting Time
0,-7-uHFjQLH_uxPauYtd8iA,Prego Cucina Italiana,Calgary,,51.052572,-114.06873970000001,italian,2.0,1.0,0.3036602570189998,0.0011627388900542048,0.23749512795567948,0.456018762812228,0.0016631133230385815
1,-D2vGSq_SvuCmHdqsDxzeA,Sugo Caffe Italia,Calgary,,51.0419065,-114.0360567,italian,3.0,2.1666666666666665,0.3313410614651671,0.010232333111618632,0.20776925734636142,0.3614211028713974,0.08923624520545542
2,0LL9gKKj8AWOZBYeh_tk0g,Avenue 16 Kitchen & Bar,Calgary,,51.083142206800005,-114.20700542799999,italian,2.0,1.5,0.34583595963400526,0.0,0.04490565065967707,0.2664554052577464,0.3428029844485714
3,1KxcxGMRy-hMwkdl9EN3KQ,Fiore Cantina Italiana,Calgary,,51.0379349788,-114.07671361,italian,2.0,1.5,0.3565571751994546,0.0,0.29908773869758387,0.17433482687615878,0.17002025922680267
4,1Uco6roZusuNYST18eqPhQ,Spinelli Italian Centre Shop,Calgary,,50.9631975,-114.0601821,italian,2.0,3.0,0.0,0.5785528382890897,0.0,0.04642749040462154,0.3750196713062888
5,1tUUCVKiFRfocWjKJgL3Gg,Domino's Pizza,Calgary,,50.9324294753,-113.983096836,italian,2.0,1.0,0.017696438034364003,0.3370379518634433,0.0,0.39718107964615146,0.24808453045604123
6,3JnZTwqbR2E3Z0iLB_7BjQ,Via Cibo,Calgary,,51.038632,-114.094402,italian,2.0,1.0,0.49921308803979286,0.013235120562481795,0.0,0.10340960189613942,0.38414218950158596
7,3n6Ki1m1Qwy3KK3asRPgHQ,Famoso Neapolitan Pizzeria,Calgary,,51.0321985,-114.07193070000001,italian,2.0,2.0,0.14241936081228138,0.4679470752244663,0.1808909706718496,0.15619300546055503,0.0525495878308478
8,5DqyJuZfKTjZnwz38pSV9w,Pizza Hut,Calgary,,50.932503499999996,-113.9703761,italian,1.0,1.0,0.0,0.27197802769897167,0.09118147737113141,0.10298612347561381,0.533854371454283
9,6_RfPTsGA42U5orLc9WjPw,East Side Mario's,Calgary,,51.0746076075,-113.98936088399999,american,2.0,1.3333333333333333,0.28223469009154,0.07605378416821497,0.27967432253047486,0.1461444634627257,0.21589273974704448
