business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Soup/Pork,Dim Sum,Customer Service,Ginger Beef/Chicken,Pad Thai/Curry,Bubble Tea
-r8SvItXXG6_T3mP5GXRAw,Western Coffee Shop,Calgary,,51.03405,-114.07151999999999,chinese,2.0,4.625,0.1919066393729981,0.017616551018270518,0.47825547310501915,0.16222938807743237,0.06990300078835653,0.08008894763792336
0gVPTer9PnXRmSjuHt-XgQ,Silver Inn Restaurant,Calgary,,51.07623243689999,-114.062241015,chinese,2.0,3.888888888888889,0.1872423104948112,0.007359745772355236,0.16620678801818944,0.5942043481051795,0.030508233076543836,0.014478574532920754
1jxxXQYOdP91LkF2Mz9Q9Q,Golden Village Restaurant,Calgary,,50.9154805,-114.0632463,chinese,1.0,4.0,0.2652707331728296,0.0,0.052771572829167085,0.27251156012876393,0.07902599410432486,0.3304201397649145
1oJG7PcNNNfazaSLOxwmmQ,Golden Joy Express,Calgary,,51.089136700000005,-114.11799369999999,chinese,,4.5,0.4104812754297439,0.0,0.22805231782808028,0.2539787904045327,0.10748761633764323,0.0
2-l_q7HBRak5i6X46l0OHw,The Dessert House,Calgary,,51.050889,-114.061939,chinese,2.0,3.388888888888889,0.13739173893603474,0.016382678690535904,0.19569195725729507,0.01820016599155648,0.03806878185962161,0.5942646772649562
21aDJ_xLGcEDkcyQRexlOQ,Hawkwood Palace Restaurant,Calgary,,51.129661337799995,-114.177907445,chinese,2.0,4.25,0.24872716556184538,0.014008405069559027,0.3337926360518363,0.3419270117953471,0.038874784130504776,0.02266999739090738
2M3tt_0FfsDiy-DDWIH4dg,Top Brass Restaurant & Cocktail Lounge,Calgary,,51.08047929999999,-114.0173933,american,1.0,4.0,0.12135698171284226,0.01757477780906704,0.5707012644626739,0.16032463336843686,0.05994082610956108,0.07010151653741888
2M3tt_0FfsDiy-DDWIH4dg,Top Brass Restaurant & Cocktail Lounge,Calgary,,51.08047929999999,-114.0173933,chinese,1.0,4.0,0.12135698171284226,0.01757477780906704,0.5707012644626739,0.16032463336843686,0.05994082610956108,0.07010151653741888
2V9eB8QO_EM2QBDC6ql1MQ,Harbour City Restaurant,Calgary,,51.0502214,-114.0627067,chinese,2.0,3.7777777777777777,0.09352435011850889,0.3017551046782279,0.21073477861641943,0.27603575721248197,0.051243127080652734,0.06670688229370901
2e19A9GaSfor4HQc0jxe4Q,Central Grand Restaurant,Calgary,,51.0666394,-114.06358119999999,chinese,2.0,3.6666666666666665,0.18161473124858266,0.5374056346347984,0.1352993957866854,0.05749570802658837,0.047487204444565057,0.04069732585878014
30QeX9bXmjYqrhZlpomFsw,Pearl Express Take-Out & Delivery,Calgary,,51.018942200000005,-114.1557699,chinese,2.0,3.3333333333333335,0.23438073805074125,0.035307037674238616,0.2530085489068994,0.2554482383677776,0.05838643715157976,0.1634689998487634
3C3mydBzZmfzzIt5D5_kOA,China Rose Restaurant,Calgary,,51.050224,-113.99266000000001,chinese,2.0,3.8,0.18840534776235665,0.017319392399563205,0.5032109181821759,0.19343781021575684,0.015170270832287036,0.08245626060786053
3DXJ7lXJJKHPnydtX_1Mug,Fat Kee Noodle House,Calgary,,51.080094,-113.9973646,chinese,1.0,3.5555555555555554,0.36575297040155075,0.005755219669891206,0.363613853895447,0.1405805688633552,0.03412602175315659,0.09017136541659916
3pTp_EDVffBFTUNKCOXjdw,New Dynasty Buffet Restaurant,Calgary,,51.047310467200006,-113.990063764,chinese,2.0,2.75,0.1554845114944896,0.02350460452099839,0.6031209076458519,0.06306293286613031,0.04514626469696069,0.10968077877556917
3t1iRg1C3T4LMn7Zu4P9jA,Wai's BBQ House,Calgary,,51.050571500000004,-114.063558,chinese,,4.333333333333333,0.7396998760156711,0.003790573421843871,0.16389870422281408,0.0778449212800988,0.014765925059572119,0.0
43V5SUyC04za5ITSvRndog,Great Taste Chinese Restaurant,Calgary,,51.0510605,-114.061304,chinese,2.0,4.2,0.4350863207243301,0.03888038923633377,0.3302704703180085,0.07347161078228913,0.07518742691325166,0.04710378202578673
4e_kgP5CBbWwZCYEbConPA,Oriental Phoenix Restaurant,Calgary,,51.0022435,-114.0639736,chinese,2.0,4.0,0.27549504519081114,0.0124144577899465,0.503408590764264,0.11692955789936088,0.0676843848568062,0.024067963498811355
5-o1J6VpLHxxmP7yAtx8kw,Soluxe,Calgary,,51.0502214,-114.0627067,chinese,2.0,3.2,0.3268146300922363,0.19514274980324917,0.25685436781031895,0.012939611062004525,0.10641670912021697,0.1018319321119741
5kr-0TOY6n0GK-riRg_08A,August Moon,Calgary,,50.968875,-114.084553,chinese,2.0,3.4,0.08087402623619905,0.011341076074597684,0.20061410902040439,0.5671653706284576,0.0859074105744849,0.05409800746585654
5yhUr1Cv21bOL6ZkE5IdCQ,Ho Won Restaurant,Calgary,,51.0509282,-114.06172620000001,chinese,2.0,3.8518518518518516,0.21058622022406417,0.1574320236537485,0.23663853937927812,0.291428357003501,0.06343301201948941,0.04048184771991875
60N3AE5ECo5lUp5tSuPvvw,Flamingo Palace Express,Calgary,,51.089136700000005,-114.11799369999999,chinese,2.0,4.666666666666667,0.0687790532010531,0.01818243722996919,0.2882358542488955,0.5469037439454544,0.0651951133657901,0.012703798008837903
6Bvu4_7hdQkwMC5SyQspEQ,Home Food Inn Peking Cuisine,Calgary,,51.0078118412,-114.067958745,chinese,2.0,3.3333333333333335,0.13704475823002352,0.1325678194659617,0.27256222600685837,0.33048159195728083,0.037126523318339336,0.09021708102153621
6a27i3kNy5MCq73vEQTNOA,South Silk Road Chinese Restaurant,Calgary,,51.0595164,-114.09475309999999,chinese,2.0,4.5,0.38027571893626605,0.018494734162148318,0.33510262325538775,0.0637341459199781,0.14676104263800324,0.055631735088216526
6n1xUEW9KP80RvsGlhye0w,Wing's Fine Food To Go,Calgary,,50.946534299999996,-114.13360759999999,chinese,2.0,4.5,0.13142714280438578,4.3243318261514994e-05,0.42633875540306504,0.3325988430792143,0.025428986674499936,0.08416302872057341
6pwUymtY59Rl_fJpjPB5CQ,Oriental Phoenix Restaurant,Calgary,,51.049392100000006,-114.07189469999999,chinese,,4.5,0.18087795979899046,0.032789100731447605,0.44690278852191273,0.2370844935914575,0.07306115177405786,0.029284505582133767
