business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Waiting Time,Pizza,Price,Pasta/Chicken,Customer Service,Atmosphere
-mhBbHbh5T_hxKZUYfdexw,TSS Grill,Las Vegas,Sunrise,36.149751,-115.07625359999999,italian,,4.75,0.13679032464308946,0.020049822261179667,0.15049776226226172,0.012311685700699519,0.09966645575845394,0.5806839493743157
-xbQQR_ydEJGqYzHSF4DnQ,Maciano's Pizza & Pastaria,Las Vegas,Spring Valley,36.086034399999996,-115.30731159999999,italian,2.0,3.7719298245614037,0.17210865240081552,0.2885647777187791,0.09995385406715004,0.2086676724181784,0.06583313988913891,0.164871903505938
0-cZ9XfpC3vsLotOJ6Nxfg,Double Down,Las Vegas,Westside,36.142996600000004,-115.27610619999999,italian,2.0,3.6666666666666665,0.12009968852354669,0.4332964673993149,0.08068850521128205,0.20259529417320263,0.0,0.16332004469265374
0InA3Ffj8MxyQV9hgsyYcQ,Novecento Pizzeria,Las Vegas,Northwest,36.264773,-115.25796799999999,italian,2.0,4.157051282051282,0.08884137112537831,0.4765834538884817,0.09738364681272947,0.10164397737546714,0.08358957987801018,0.15195797091993338
0NmTwqYEQiKErDv4a55obg,Scarpetta,Las Vegas,The Strip,36.1102405779,-115.17428845200001,italian,3.0,4.288014311270126,0.26122329144455136,0.004145758682826296,0.13011319807612493,0.313426659223891,0.2194832061949845,0.07160788637762146
0aw3HbxkZ4G7pkPYt10fhA,Olive Garden Italian Restaurant,Las Vegas,Sunrise,36.160551299999995,-115.0617047,italian,2.0,3.880952380952381,0.29088792759125465,0.016433989124953103,0.18461048532890856,0.21044965146508468,0.15345345108007832,0.14416449540972054
0jtRI7hVMpQHpUVtUy4ITw,Omelet House Summerlin,Las Vegas,Summerlin,36.2019904392,-115.283122245,american,2.0,4.245,0.20097012549906476,0.025179716785816268,0.20834504353172256,0.15441379741837974,0.12775806269138237,0.2833332540736344
0jtRI7hVMpQHpUVtUy4ITw,Omelet House Summerlin,Las Vegas,Summerlin,36.2019904392,-115.283122245,italian,2.0,4.245,0.20097012549906476,0.025179716785816268,0.20834504353172256,0.15441379741837974,0.12775806269138237,0.2833332540736344
0mnnlFCploePlnEaddw63g,Aurelio's Pizza,Las Vegas,Northwest,36.239672799999994,-115.2259534,italian,2.0,4.28,0.0905115922663215,0.39322397419003396,0.14877325495128882,0.1030673340775613,0.13134304260033208,0.13308080191446234
0qet57CmMA5qUm6gPFUTpg,Di Fara Pizza,Las Vegas,The Strip,36.116163,-115.17505759999999,italian,2.0,3.4383561643835616,0.13027108211837632,0.5892040547025515,0.06835951321870215,0.06512270866043278,0.06468876933472924,0.08235387196520828
0xdpv5CPpbUUch7JKBG98Q,Sirio Ristorante,Las Vegas,The Strip,36.1068839544,-115.174226761,american,3.0,3.6535433070866143,0.2904629905701912,0.026500802135674944,0.13791011446033857,0.3240519855162555,0.1490899322000557,0.07198417511748414
