business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Waiting Time,Dim Sum,Dumplings,Noodles/Soup,Chicken Rice,Customer Service
--SrzpvFLwP_YFwB_Cetow,Keung Kee Restaurant,Toronto,Milliken,43.8067504,-79.28885809999998,chinese,2.0,3.8055555555555554,0.29456894940696776,0.019459733948145076,0.028459744855236238,0.14105236897645135,0.27348460824267634,0.24297459457052317
-M9S1wlZTvv6T9EOo5X2Yw,Grandeur Palace,Toronto,Scarborough,43.79780220000001,-79.2708324,chinese,2.0,3.272727272727273,0.2901483664220654,0.33088544014026045,0.07781502809218598,0.03630315093952281,0.14113302636083427,0.12371498804513116
-UPP0Q_kZsuQ2zZ1k7lbyQ,Tasty Delight Fusion Cuisine,Toronto,,43.7915787,-79.36674649999999,chinese,1.0,3.391304347826087,0.3932363048415681,0.010344000712946184,0.014793359630157493,0.12571468916895648,0.206649783498643,0.24926186214772872
-cYOKJ5kbVZqzSYQIzZcqA,Kingston Chinese Restaurant,Toronto,Upper Beach,43.680487799999995,-79.28753959999999,chinese,2.0,1.0,0.08019713819439808,0.0,0.0,0.0,0.919802861805602,0.0
-cuzw1pcZ_UcdA4Qxc5YYg,Little Master,Toronto,Willowdale,43.7758099,-79.414276,chinese,1.0,3.857142857142857,0.30858042587021867,0.0035468407208671384,0.024670122400438265,0.21656899582222322,0.1973862958216861,0.2492473193645667
-xEGQKqXZzvkdyVQilQtrg,Royal Dumpling,Toronto,Willowdale,43.774992299999994,-79.4134696,chinese,2.0,2.0,0.1292997987265001,0.0,0.7826460446839212,0.03708271675457249,0.0,0.05097143983500618
00I_YBjgZAvd2ggZr3J0cQ,Shanghai Chinese Restaurant,Toronto,Willowdale,43.7773323,-79.41467490000001,chinese,2.0,3.2666666666666666,0.2245022972742591,0.009516551045871553,0.06038162351688494,0.2968915773538219,0.22254423649717822,0.18616371431198436
0BeKOp6cWw4ArB04lnyBYw,Yummy Chinese Food Restaurant,Toronto,Parkdale,43.639365399999996,-79.44252970000001,chinese,1.0,3.2857142857142856,0.23300939589112502,0.0015852726999267556,0.00945948854935963,0.14176174569175742,0.4017227412459439,0.21246135592188725
0Eqjt54KPklmWTsly9ltyQ,South China,Toronto,Mount Pleasant and Davisville,43.701910600000005,-79.3873304,chinese,2.0,3.0,0.10337197285724738,0.017680568381752422,0.08485749319151306,0.14102148301157053,0.504049277657314,0.14901920490060272
0GmQjd_LXUyKXD_utcLuPA,Imagine Noodle,Toronto,Milliken,43.822818822200006,-79.3008436317,chinese,2.0,3.25,0.062490229345568166,0.013895978917776925,0.022014351185260884,0.6955534132505153,0.12543899983432166,0.0806070274665571
0LA4HKI7ydji1zwnqDbgnw,Sweet Lulu,Toronto,Trinity Bellwoods,43.64566129999999,-79.41157079999999,chinese,2.0,3.689655172413793,0.21264032963032423,0.001861357848974133,0.0041834493713629566,0.2738018641567834,0.2366550722589546,0.2708579267336007
0Mhw1lD_Zwsv4Vo6oQrPWA,Wah Too,Toronto,Downtown Core,43.6549211,-79.38708079999999,chinese,2.0,3.625,0.2002883274210328,0.01189891118225021,0.027914774741910592,0.0866171273785517,0.3205402069514001,0.3527406523248546
0d_aewXm7wVlaTW8Glzxdw,Danforth Dragon,Toronto,Greektown,43.6797052,-79.3397512,chinese,2.0,3.8085106382978724,0.12677463810520948,0.016057395371554775,0.028135433982150525,0.06338080036663475,0.5110404507562396,0.2546112814182108
0gj8bpTF6I6T_C5xyBUafw,Arden Fast Food,Toronto,Milliken,43.813861100000004,-79.2916014,chinese,1.0,3.0,0.47793136520282486,0.0,0.0573859470053565,0.027980713292099637,0.3986174129924849,0.03808456150723408
0sPOBQHlVvuhO1h-1p1ccQ,Origination,Toronto,Chinatown,43.6533253829,-79.3953588346,chinese,2.0,3.8666666666666667,0.15928447196597467,0.016885676627239412,0.010771791299696184,0.4898567415117665,0.0777927069907164,0.24540861160460684
1DkpdmcxLCRXAdEi6TdOFw,Anne's Magic Kitchen,Toronto,Chinatown,43.653700988800004,-79.39485836770001,chinese,2.0,3.814814814814815,0.255557202855425,0.008648120712156818,0.04680002500558745,0.3673916173174887,0.15189448259754984,0.1697085515117921
1FL3oE2mqq_EFAYPd1TWUg,Meet Dumplings,Toronto,Church-Wellesley Village,43.6679551,-79.38566340000001,chinese,1.0,3.75,0.09810132750462712,0.006577998118994731,0.5678298666623526,0.06067866825114694,0.06124865302703016,0.20556348643584835
1HplwLVbBid-Bgw1sEPGFg,Dumpling Melody Bistro,Toronto,Etobicoke,43.5968575551,-79.52330516560001,chinese,2.0,3.4,0.3647530934758378,0.008791957606048941,0.13993825663893603,0.10452093973147922,0.19971170665200555,0.1822840458956925
1M-oyCcUluxwTid8vbBSdA,M&Y Bakery,Toronto,Scarborough,43.8038011,-79.33574990000001,chinese,1.0,4.0,0.4749498812539281,0.020418202871263332,0.013913253755928176,0.04444160596566791,0.1346983355966654,0.31157872055654706
1VAsBosvx02jpvIUxiKvmg,The Dumpling Shop,Toronto,Willowdale,43.767971200000005,-79.4013625,chinese,1.0,4.846153846153846,0.05424858807275987,0.0032490134573533373,0.7022332506023127,0.02136742511546453,0.0013549501412573296,0.21754677261085226
1XCR1GxL44O2hg3ehRwtMA,Szechuan Express BAC,Toronto,Downtown Core,43.6503406,-79.3805207,chinese,1.0,4.2,0.16093467001937767,0.006045881694646389,0.00833084961767974,0.06410033835679033,0.5230188948540466,0.23756936545745938
1jNteKQ2JuF6Sk1SI9X23Q,P F  Chang's,Toronto,,43.733719,-79.344753,chinese,2.0,2.914285714285714,0.3359286994969855,0.014155829865643815,0.03780474955033802,0.09334622103846506,0.23170664187649248,0.287057858172075
1kqLZp0_FEMHGx-W4TjTLQ,Hong Kong Style Tea & Fast Food,Toronto,Scarborough,43.797707934499996,-79.2722371593,chinese,1.0,4.1,0.25529340071514484,0.007318008044948263,8.489180433396174e-05,0.18203102867172566,0.27811390392427227,0.2771587668395751
