,business_id,name,city,stars_y,0,1,2,3,4,5
0,-CQokjildrY7UZezXCdEBw,Toddy Shop,Las Vegas,5.0,0.3177454266213016,0.10376498353817894,0.17619457099391428,0.008445568048013729,0.14264022154252481,0.25120922925606676
1,-JfncbVURtvuzBbof40o1w,The Cafe at Monte Carlo,Las Vegas,2.5,0.3100971463073694,0.05431032906362071,0.1129843331023045,0.28102136548341383,0.1435961478858382,0.09799067815745333
2,-OEIW0dO96-492qa_luxaw,Aces & Ales,Las Vegas,4.0,0.3395880483959307,0.07204687452014552,0.2726456739028805,0.01635712732561539,0.0485523332673771,0.2508099425880508
3,-PGsEXB6DFTVKa1eDOlzWA,Black Bear Diner,Las Vegas,3.5,0.21771761789069527,0.029130580986840134,0.26802352383372663,0.218574853511392,0.080799975615791,0.18575344816155498
4,-SGZcGqnsp_uRIjKP2RGZg,Ranch House Grille,Las Vegas,3.5,0.3328618190233122,0.0,0.25148692813102536,0.1921831762786839,0.012525933359220863,0.21094214320775773
5,-U7tvCtaraTQ9b0zBhpBMA,MGM Grand Buffet,Las Vegas,2.5,0.40763759707909647,0.010650318847509343,0.1698248064451041,0.218805758709487,0.049154053810440454,0.14392746510836288
6,-UtYWvCnUppcSaC_u1pTYQ,Kopper Keg Restaurant & Lounge,Las Vegas,4.0,0.33450727481315484,0.00020192377668734498,0.2901054299962029,0.0,0.0,0.3751853714139548
7,-Ylpy3VyRWwubf9dysuwjQ,The Cheesecake Factory,Las Vegas,3.5,0.4002393016784415,0.035186290602260396,0.20751626141424678,0.05871939144119911,0.12328247892350629,0.17505627594034612
8,-a857YYdjzgOdOjFFRsRXQ,Beer Park,Las Vegas,3.5,0.30312230947285423,0.07334405067536473,0.3208362725565616,0.010206610955473578,0.03325206305390728,0.2592386932858382
9,-kbPPBNsIPDfMfgUGO7QhA,Kopper Keg South,Las Vegas,4.0,0.27728951403055924,0.054210972499042095,0.2347705337387383,0.0735945820285498,0.008643689631426425,0.3514907080716842
10,-oUM2uISux96lMGeawHIOA,Sugar Factory,Las Vegas,3.0,0.36618391179818116,0.08284830814876647,0.24997080859857532,0.021077214815953073,0.05051259391645635,0.22940716272206765
11,-qYuPncpK8elgD-6Qx3v7A,Flock & Fowl,Las Vegas,4.0,0.23657253584086044,0.030625773539557654,0.15586438781502,0.028740227985237697,0.38943840739766694,0.15875866742165717
12,005XmZKuJZuNbl5tGXc5SA,Tony Roma's,Las Vegas,3.0,0.44278346581445915,0.06310750427855083,0.24723524550662435,0.017550175194632218,0.10932584907459755,0.11999776013113589
13,01SiPgdiOskMC5bUJoyy_g,Winchell's Pub & Grill,Las Vegas,4.0,0.27243776221411414,0.07555856688942686,0.27971210408174163,0.06975810445514836,0.06860381967126883,0.2339296426883002
14,0EgYXYjt2XJL4hlsKnzrcw,PublicUs,Las Vegas,4.5,0.23852492303640974,0.015013643136377472,0.1694136099860861,0.21877928732004207,0.057498151799608634,0.30077038472147666
15,0Hcks5q-DgJbDlmEWolx4A,Bonefish Grill,Las Vegas,3.5,0.4116088914605705,0.020845912561035455,0.28367759381966734,0.031069094391576544,0.06578994989310229,0.18700855787404788
16,0JmCGyAqAK_yVEuZ0ts16w,Bilbo's Bar & Grill,Las Vegas,2.5,0.0,0.001110431302386763,0.0,0.0,0.0,0.9988895686976133
17,0QHMAUi6NdOUZ1ckXq0-sA,Rainforest Café,Las Vegas,2.5,0.3573250578408927,0.05585813255603632,0.22579937930116456,0.054213136428260436,0.059570904740086764,0.24723338913355936
18,0WPXDs4ini3D7jpiy1Daqw,The Market,Las Vegas,3.5,0.32149928614105844,0.012451297830987007,0.19544045014276853,0.13027301169997701,0.06907513920310597,0.271260814982103
19,0_aeYE2-VbsZts_UpILgDw,Lazy Dog Restaurant & Bar,Las Vegas,4.0,0.30971918917722724,0.04407469914278553,0.280439483942546,0.0259073829628084,0.11216568693652729,0.2276935578381051
20,0bWLkWeIcT-EnrE7SiGEBA,Laguna Pool House & Kitchen,Las Vegas,4.0,0.2166789576501083,0.3195888042419525,0.2035198891600742,0.015646500764280622,0.0778932445599381,0.16667260362364614
21,0jtRI7hVMpQHpUVtUy4ITw,Omelet House Summerlin,Las Vegas,4.0,0.16560991128573319,0.018813615220817367,0.1967966519985441,0.3614786846973887,0.038490666491386355,0.21881047030612993
22,0p27EjcNwTI7Ey4K_MNPww,Fatburger,Las Vegas,3.0,0.22410963926315763,0.46039836417843893,0.15412686188815078,0.036775476160229977,0.015649935077665003,0.10893972343235782
23,0qPNeqLuKE88rKbIbSZDpg,Killer Shrimp,Las Vegas,3.5,0.438930718498973,0.016477403678394845,0.25361350108616343,0.015948655313745903,0.09566622342831181,0.17936349799441112
24,0zGeYN8ReYwVj27U7EHOJA,American Cafe,Las Vegas,2.5,0.11713903144885075,0.000677063698121357,0.09235263101719908,0.6482823035183674,0.029201654275178356,0.11234731604228308
25,0zoXYHq82haayMaV952jEQ,Greens and Proteins,Las Vegas,4.0,0.261437951218641,0.12362530824386564,0.14810968569742575,0.07951891396974535,0.089734615064999,0.2975735258053235
