business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Price,Chicken Rice,Dim Sum,Waiting Time,Soup/Noodle,Customer Service
-EohS3nXZGl6odE9Lx5BSw,Panda Express,Las Vegas,Eastside,36.1008337598,-115.054328806,chinese,1.0,1.0,0.21816133900060758,0.21908350146640815,0.0,0.22947364884602672,0.0,0.33328151068695755
-FcZY7a7qgxTUlTvwuyJnQ,8 Noodle Bar,Las Vegas,South Summerlin,36.1569067426,-115.33299091299999,chinese,2.0,1.6590909090909092,0.2040066568574985,0.12970916913609462,0.012315316742439563,0.1918810690491745,0.24920388060553086,0.21288390760926204
-FlrlELIGmCqdt_JxbdFgg,Panda Express,Las Vegas,Summerlin,36.1937598519,-115.305485597,chinese,1.0,1.8,0.23081671056693365,0.5565849746399184,0.04587177701188233,0.07487057373905644,0.04084312910167971,0.05101283494052955
-YWr1wm_NaAlgEf9TZzsMQ,Jumbo Super Buffet,Las Vegas,Westside,36.152620399999996,-115.20751100000001,chinese,1.0,1.3043478260869565,0.4877171401836332,0.1268887469228736,0.015874620187306898,0.10580870588316563,0.09523737128075199,0.16847341554226863
-vb_yx5QnIhpXUIdPVD2og,Fair View Chinese Cuisine,Las Vegas,,36.1948912,-115.20511450000001,chinese,1.0,1.0,0.7033276464228662,0.0,0.0,0.09439665488635601,0.037153329181707204,0.1651223695090705
-wDNRL4lm1UgeFLG9KcrjQ,Yummy Grill & Sushi,Las Vegas,Southeast,36.012748241,-115.119379794,chinese,2.0,1.8,0.19260825130683562,0.18340579970723825,0.0010876201265085093,0.28925907624931896,0.0703504240555868,0.26328882855451186
-zkn2p1mu9g-kbGNdM1lUA,Chinos Locos,Las Vegas,Downtown,36.1673732,-115.14580729999999,chinese,1.0,2.0,0.0843037624894666,0.3032531801264486,0.0,0.39257713539451355,0.2198659219895713,0.0
01Ov9eDxKRY5k6ImMdiWLQ,Hong Kong Garden Seafood & BBQ Cafe,Las Vegas,Chinatown,36.127185299999994,-115.22501129999999,chinese,2.0,1.6304347826086956,0.27407410065174725,0.051987449621114956,0.01839427905910274,0.24902451139347362,0.11400439272352816,0.2925152665510332
0DQ31asd4IeOTI7dkZ3OXQ,Sea Harbour Seafood Restaurant,Las Vegas,Westside,36.1598136,-115.24073929999999,chinese,,1.0,0.039200666986890724,0.0,0.6940806579311978,0.1456361354849341,0.0,0.12108253959697746
0VjHFdczi6Nln_nn8bucJQ,Pho Bistro,Las Vegas,Eastside,36.11396129999999,-115.0909203,chinese,1.0,2.533333333333333,0.2742361114778902,0.18773750129341257,0.01721683044955533,0.13780833041967286,0.25572517677556805,0.12727604958390099
0c6PQILCLwRZ8FIB4AEsGw,China One - West Charleston,Las Vegas,Summerlin,36.1593761663,-115.35067787700001,chinese,1.0,1.84,0.2199677962549739,0.23008179492035624,0.026382008887773832,0.30115529796758006,0.142698115015321,0.07971498695399501
0dr1FgqQSEMbaTu9SDqiIg,China A Go Go,Las Vegas,,36.19944520000001,-115.242678,chinese,1.0,2.236842105263158,0.21094731983612297,0.23927597280679885,0.00992764125352285,0.31491534797193305,0.08036371636768154,0.14457000176394066
0eZHVYDyACtVVOIgoBlV3g,Da Sheng Chinese Cuisine,Las Vegas,Chinatown,36.125489034299996,-115.19707784100001,chinese,1.0,1.8888888888888888,0.3265091106597064,0.19122377107988534,0.003531741373712682,0.16658388268733232,0.10988390241345004,0.2022675917859132
0nlocywsFHQmEt8_xbHNiw,Long Jin Chinese Cuisine,Las Vegas,Spring Valley,36.100876899999996,-115.24459679999998,chinese,2.0,1.6666666666666667,0.2857304287891001,0.26284898759058367,0.020483405906281102,0.20038700312149282,0.15167457289635056,0.07887560169619164
1NZNZHnGE4-FLZmU6xp3oQ,Kung Pao Wok,Las Vegas,Downtown,36.163789265300004,-115.157902166,chinese,1.0,1.1111111111111112,0.22053381662196406,0.0791723367363771,0.0044027064912738004,0.18161516131196165,0.07489519705799724,0.43938078178042617
1PFg5TTddZiTmkBq0RuqzQ,Vid Noodles,Las Vegas,Southeast,36.042286232100004,-115.121729895,chinese,1.0,4.0,0.3720223753824488,0.09326290363684372,0.0,0.12239868679595263,0.41231603418475476,0.0
1ZHBhMwi9rdXJ92QPHrWLw,Dragon Buffet,Las Vegas,Sunrise,36.1622362,-115.0621037,chinese,1.0,1.0,0.46847017896851284,0.1014873331758715,0.0051456576352202285,0.2404715748018583,0.003400189205404158,0.18102506621313288
