business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Table Availability,Pizza/Crust,Pasta/Sauce,Customer Service,Waiting Time
-7-uHFjQLH_uxPauYtd8iA,Prego Cucina Italiana,Calgary,,51.052572,-114.0687397,italian,2.0,1.0,0.3036602570189998,0.0011627388900542048,0.2374951279556795,0.456018762812228,0.0016631133230385815
-D2vGSq_SvuCmHdqsDxzeA,Sugo Caffe Italia,Calgary,,51.0419065,-114.0360567,italian,3.0,2.1666666666666665,0.3313410614651671,0.01023233311161863,0.20776925734636145,0.3614211028713974,0.08923624520545542
0LL9gKKj8AWOZBYeh_tk0g,Avenue 16 Kitchen & Bar,Calgary,,51.083142206800005,-114.20700542799999,italian,2.0,1.5,0.3458359596340053,0.0,0.04490565065967707,0.2664554052577464,0.3428029844485714
1KxcxGMRy-hMwkdl9EN3KQ,Fiore Cantina Italiana,Calgary,,51.0379349788,-114.07671361,italian,2.0,1.5,0.3565571751994546,0.0,0.2990877386975839,0.17433482687615878,0.17002025922680267
1Uco6roZusuNYST18eqPhQ,Spinelli Italian Centre Shop,Calgary,,50.9631975,-114.0601821,italian,2.0,3.0,0.0,0.5785528382890897,0.0,0.04642749040462154,0.3750196713062888
1tUUCVKiFRfocWjKJgL3Gg,Domino's Pizza,Calgary,,50.9324294753,-113.983096836,italian,2.0,1.0,0.017696438034364003,0.3370379518634433,0.0,0.39718107964615146,0.24808453045604126
3JnZTwqbR2E3Z0iLB_7BjQ,Via Cibo,Calgary,,51.038632,-114.094402,italian,2.0,1.0,0.4992130880397929,0.013235120562481795,0.0,0.10340960189613943,0.384142189501586
3n6Ki1m1Qwy3KK3asRPgHQ,Famoso Neapolitan Pizzeria,Calgary,,51.0321985,-114.0719307,italian,2.0,2.0,0.14241936081228138,0.4679470752244663,0.1808909706718496,0.15619300546055506,0.0525495878308478
5DqyJuZfKTjZnwz38pSV9w,Pizza Hut,Calgary,,50.9325035,-113.9703761,italian,1.0,1.0,0.0,0.2719780276989717,0.0911814773711314,0.1029861234756138,0.5338543714542829
6_RfPTsGA42U5orLc9WjPw,East Side Mario's,Calgary,,51.0746076075,-113.98936088399999,american,2.0,1.3333333333333333,0.28223469009154,0.07605378416821497,0.2796743225304749,0.1461444634627257,0.21589273974704448
6_RfPTsGA42U5orLc9WjPw,East Side Mario's,Calgary,,51.0746076075,-113.98936088399999,italian,2.0,1.3333333333333333,0.28223469009154,0.07605378416821497,0.2796743225304749,0.1461444634627257,0.21589273974704448
6jFpRzEinLn52YafGytaGg,Pizza Hut,Calgary,,51.1379887,-114.158837,italian,1.0,1.75,0.03993389829352724,0.3977815922842005,0.015136110246919457,0.024498408193100927,0.522649990982252
72mOsnHEjZOPNNDyiqAVEA,Green Olive Italian Restaurant,Calgary,,51.069432,-113.933831,italian,2.0,1.0,0.0,0.0,0.0,1.0,0.0
7H2mRn5Z9v65Ii0juNWhww,Buon Giorno Ristorante Italiano,Calgary,,51.037824,-114.080915,italian,2.0,1.8,0.3287073746024817,0.00464991169362714,0.2540883408125085,0.35592772707414555,0.0566266458172372
7YV-tNbr2-5rbf0atsntsg,The Old Spaghetti Factory,Calgary,,51.0506705859,-114.06986191,italian,2.0,1.4545454545454546,0.19511203021103168,0.013337895107027738,0.30574303714839696,0.3055260100427866,0.18028102749075706
