business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Order/Waiting Time,Pizza,Customer Service,Pasta,Atmosphere
-CLTZ0cO-ooKDDmXHFoGMg,Pi Co,Toronto,Yorkville,43.670003200000004,-79.3898095,italian,2.0,4.015873015873016,0.07512003687943339,0.6174460637560057,0.09160227045563342,0.05956778903848221,0.15626383987044515
-L88B-PrtzwujhLuYc2k_g,Joe Badali's Ristorante Italiano & Bar,Toronto,Downtown Core,43.6453652,-79.3843545,italian,2.0,3.6470588235294117,0.2979463324355344,0.06613210619208605,0.25413843226354593,0.19463888026569348,0.18714424884314
-b-waFIsc6BJdXWOJMRKEQ,Marinellas Italian Restaurant,Toronto,Bickford Park,43.655076405699994,-79.4154641032,italian,3.0,4.5046728971962615,0.21564086796058662,0.03133233662560416,0.25317444409221584,0.3346353413353576,0.16521700998623573
-t2b2DaLhrb2-Ngv8Tvw9w,Il Sogno Ristorante,Toronto,Mount Pleasant and Davisville,43.7005834,-79.396869,italian,2.0,3.6923076923076925,0.20029660476659045,0.13030929496203456,0.2480554764819775,0.22826032620536385,0.1930782975840336
-w2WaIQWPH4iNeJz7IZKDw,Coppi Ristorante,Toronto,,43.731676799999995,-79.40354559999999,italian,3.0,3.9,0.32651513364747614,0.01099674975357231,0.29237626211444795,0.23187677720854313,0.13823507727596046
02Ycww2etUAxorZb5gIM8Q,Tre Mari Bakery,Toronto,Corso Italia,43.6765075,-79.44872009999999,italian,1.0,4.321428571428571,0.14832555330857097,0.09552526191271218,0.1583179760105948,0.19493632658533785,0.4028948821827841
0O3H5plJx-Cq2A80qFVW5w,LAB,Toronto,Little Italy,43.6549862,-79.4159745,american,3.0,3.764705882352941,0.3821816797596401,0.012279607438256887,0.2160269137405561,0.22942540901905129,0.1600863900424956
0O3H5plJx-Cq2A80qFVW5w,LAB,Toronto,Little Italy,43.6549862,-79.4159745,italian,3.0,3.764705882352941,0.3821816797596401,0.012279607438256887,0.2160269137405561,0.22942540901905129,0.1600863900424956
0Ovh4Vn9ntMt5Ara-ZP2sA,Cinquecento Trattoria,Toronto,Liberty Village,43.6401061,-79.4212152,italian,2.0,4.0,0.30068381463736926,0.08911857541488127,0.20072559227753298,0.22493477542414375,0.18453724224607285
0XZkaHXjxHAhJc_jPtoJCA,Vita Sociale,Toronto,Yonge and Eglinton,43.7114497,-79.3995315,italian,3.0,2.5,0.3476228143015182,0.11714307315982646,0.15896641517393675,0.20443475308007,0.1718329442846486
0k6B3X0sinFB7ASe1lWg1Q,Pasta Mondo,Toronto,Yonge and St. Clair,43.687158312600005,-79.39700985520001,italian,1.0,3.5,0.0,0.01132115753536137,0.17601715707016574,0.5772649280434596,0.23539675735101315
0pHBqJT0mzu9bO6D33Byug,Alio Restaurant & Wine Bar,Toronto,Downtown Core,43.6557849,-79.38419240000002,italian,2.0,3.8,0.44361772848167735,0.014961305554007353,0.1010390748826476,0.010723280663123298,0.42965861041854436
0r9NuzpFE6l0hwVAJDnhVg,San Francesco Foods - Bay,Toronto,Downtown Core,43.6593807,-79.385626,italian,2.0,3.5555555555555554,0.1648854745420856,0.1894865844487234,0.06165060252002465,0.23567058500912744,0.34830675348003887
0rMFhLzeq3Z2OaJ62MQXlw,Spiga Ristorante,Toronto,Yonge and St. Clair,43.6862465,-79.39356140000001,italian,3.0,3.8,0.26420598551972274,0.18083937472950423,0.1428639111345062,0.12714340848048009,0.28494732013578683
0txNpCq2YunZSL7jHIiGlA,Lardon Restaurant,Toronto,Roncesvalles,43.6508821,-79.45084920000001,italian,3.0,4.166666666666667,0.4004039372830971,0.02011761573992687,0.2408618702170979,0.2768333940303337,0.0617831827295444
0xy5_iqOYWp_XRXpeb-IFQ,ViPei Bistro,Toronto,,43.731530600000006,-79.4040711,italian,2.0,4.142857142857143,0.14275504108351494,0.002545581139129389,0.21035006948230325,0.17804080582330117,0.4663085024717512
111d13yLgIdqvpZekgVnbQ,Pallucci,Toronto,Mount Pleasant and Davisville,43.7021058,-79.38747109999998,italian,,3.2,0.3029066059657878,0.009877767006033086,0.22733569587082475,0.33328369489660203,0.1265962362607524
17YCQTKmq4D5sMMaY1EbqQ,Olivia's At Fifty-Three,Toronto,Palmerston,43.6556662,-79.4138811,italian,3.0,4.2,0.32606471478350957,0.007934787722775562,0.20839287313044963,0.1679478849293318,0.2896597394339334
1PJpo48hSChCbriXEHGSjw,Opus Restaurant,Toronto,The Annex,43.6692085,-79.3972042,american,4.0,4.369565217391305,0.3855039198308889,0.014727061480789616,0.3704634674563567,0.1089899688864509,0.12031558234551362
1PJpo48hSChCbriXEHGSjw,Opus Restaurant,Toronto,The Annex,43.6692085,-79.3972042,italian,4.0,4.369565217391305,0.3855039198308889,0.014727061480789616,0.3704634674563567,0.1089899688864509,0.12031558234551362
1Z9rGyR3Ld2mtnOTE4pNcg,Big Slice Restaurant,Toronto,,43.6782843,-79.44246190000001,italian,2.0,3.6470588235294117,0.14127056512453331,0.22822682463352326,0.1617582052380527,0.12733570852605686,0.34140869647783395
1gL9mw6HRbetCb9vOBoPQw,Pizzaiolo,Toronto,Yonge and St. Clair,43.6877499,-79.394666,italian,1.0,4.416666666666667,0.06550417490169606,0.6084456269691961,0.10355557319269781,0.07075439075032526,0.15174023418608473
1kVicFRGjgUrB6IezlTTdw,Focaccia Restaurant,Toronto,Church-Wellesley Village,43.669422,-79.38575300000001,italian,2.0,3.769230769230769,0.29307172799528536,0.004587553386447532,0.21411121651728676,0.21328825773058008,0.27494124437040013
1tinvR_pRVARKO_JGC-IHw,Fabbrica,Toronto,Financial District,43.6474273,-79.3810513,italian,,5.0,0.06752527306323011,0.493619453865925,0.0,0.2524913271589331,0.18636394591191177
1yAUftiOsCEkZ4B1UsdxRQ,Anima Trattoria and Wine Bar,Toronto,Etobicoke,43.6274318,-79.4984186,italian,,5.0,0.21083964670362954,0.00048008088450444795,0.58852868974439,0.054444254457480176,0.14570732820999588
