business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Beer/Bar,Customer Service,Burger/Fries/Veggie,Chicken/Salad/Wings,Waiting Time,Breakfast/Brunch/Eggs
-TSAXAz0CeNv73OAh9wu2A,Vagabond Brewery and Restaurant,Calgary,,51.0412573123,-114.05370281100001,american,2.0,2.7142857142857144,0.2019482834287853,0.2516187114856957,0.07009797752337918,0.057102440777806275,0.3476157510024373,0.07161683578189637
-W32WHlviv5JAmrYBXEF7A,Atlantic Trap & Gill Pub,Calgary,,50.9937557,-114.0714264,american,2.0,3.8,0.4725373870595641,0.10636107659742608,0.0549899514312403,0.052959319805789135,0.30306196771556193,0.010090297390418309
-ccmPDvaDFx5TbdKB1rgCA,Original Joe's,Calgary,,50.90352,-114.0585244,american,2.0,3.6666666666666665,0.4939480240705738,0.07157423507229499,0.10021143702068253,0.08442308880170431,0.2498432150347442,0.0
-dWbB9wKYsH-HESAANWajw,Bottlescrew Bill's Pub / Buzzards Restaurant & Bar,Calgary,,51.0436825,-114.0650951,american,2.0,3.8333333333333335,0.2177549254169593,0.20563720451750345,0.07143265816936469,0.09207651901956664,0.32768715313953706,0.08541153973706876
-hBRP99YCr_8Xb8WG5YQmg,Moxie's Grill & Bar,Calgary,,51.0472918,-114.0808518,american,2.0,3.7857142857142856,0.28884495218387,0.2044058393228982,0.08363409021603417,0.06242035597822261,0.23236449244157026,0.1283302698574047
0X8G5_wbBtzwUlxonHdplA,Denny's,Calgary,,51.067934,-114.012796,american,2.0,4.083333333333333,0.23801219571336085,0.2372818603347965,0.06030996509429998,0.07415898955028306,0.3598743234802937,0.030362665826965868
0X8MLdXMghaBkGFTMolZcw,Moxie's Grill & Bar,Calgary,,50.9057756,-114.0669213,american,2.0,3.875,0.1586528674085469,0.3005768373065666,0.0991788642451801,0.011717637870793695,0.3169651084787621,0.1129086846901506
0ZVtPnEq69epPqao-RwWug,Montana's Restaurant,Calgary,,51.13058296649999,-114.009733313,american,2.0,2.833333333333333,0.14895968064712134,0.18233173370615074,0.04942072844043918,0.13028190875126033,0.3275672524683851,0.16143869598664334
0jVLEi0Y5hfwApkpD25r6A,Big T's Bbq and Smokehouse,Calgary,,50.9309509724,-114.026833308,american,2.0,4.28125,0.1926532228932198,0.30534292835077503,0.04673153797100545,0.08640967870386605,0.2634015833241072,0.1054610487570267
1-mycIcKFGbvqLE60XrwnQ,Chili's,Calgary,,51.130466,-114.010191,american,2.0,3.0,0.21420257954141506,0.23543632607156775,0.0499628916789208,0.14590530817078168,0.2608517661310288,0.09364112840628587
1D-5uvzEiTljiq69uSjWHg,Denny's,Calgary,,51.0968723675,-114.054535567,american,2.0,4.333333333333333,0.14440421438110207,0.3297128197702995,0.06426926198186891,0.04956417517058217,0.35864228469818843,0.05340724399795887
1bRozVurn_mL11YGsitNMw,Swiss Chalet Rotisserie & Grill,Calgary,,51.1553574384,-114.060465701,american,2.0,3.4285714285714284,0.36517436393605934,0.1971703358717201,0.07735218747005132,0.0917702760142054,0.2191643606395102,0.049368476068453626
2HV17nynbxzNisVwwoU6gw,Velvet At the Grand,Calgary,,51.047152200000006,-114.065167,american,3.0,3.0,0.2251721825726869,0.04148780726089785,0.017870061094814003,0.0271722249041166,0.37625898950825176,0.31203873465923304
2LbDtx0AiftnlwrNk84S6A,Blackfoot Truck Stop Restaurant,Calgary,,51.0358856,-114.0200702,american,2.0,3.9444444444444446,0.20573784830156772,0.2478684464761616,0.08667616116195934,0.11088203150660912,0.2516940679621523,0.09714144459154987
2M3tt_0FfsDiy-DDWIH4dg,Top Brass Restaurant & Cocktail Lounge,Calgary,,51.08047929999999,-114.0173933,american,1.0,4.0,0.13997726663892626,0.052634364228618134,0.11529215480262625,0.05326597675886583,0.5569002868359186,0.08192995073504494
2M3tt_0FfsDiy-DDWIH4dg,Top Brass Restaurant & Cocktail Lounge,Calgary,,51.08047929999999,-114.0173933,chinese,1.0,4.0,0.13997726663892626,0.052634364228618134,0.11529215480262625,0.05326597675886583,0.5569002868359186,0.08192995073504494
2tvdTwgARXgu-5UVRcsc4A,Denny's,Calgary,,51.067417051599996,-114.117192766,american,1.0,3.615384615384616,0.2280731049692413,0.17012315188967514,0.17461675208399793,0.05036093420315206,0.2359392126228355,0.14088684423109796
3TDeKSUV4bV_OYByJSRPUg,Van Gogh Grill & Bar,Calgary,,51.091841,-114.248704,american,2.0,3.0,0.16492877735867426,0.2961766244828976,0.16571946954366068,0.08667817818809656,0.26653519183801233,0.019961758588658438
3_27-KlCTU3Z0vo7yNK0mw,Phil's Restaurant,Calgary,,51.0670615,-114.1142547,american,2.0,3.583333333333333,0.3693828791871657,0.1487426154171846,0.011665326833956066,0.03800119106266183,0.32771469227726124,0.10449329522177056
4253zBrjbPy7VvD4X9NPnQ,Bull & Finch,Calgary,,50.9626970038,-114.087518934,american,2.0,3.8,0.14859608961462786,0.23141564593900016,0.19365789886957024,0.13924896852891347,0.055131670024384766,0.2319497270235035
4Bs-aIKHYp0yC0ily4j0JQ,KFC,Calgary,,51.1256643,-114.1975966,american,1.0,1.0,0.25491869879542417,0.4175335018922677,0.0,0.0,0.2678200610253505,0.05972773828695769
4kNWvOJUQDHQTujWsLcUtA,Steels Cafe & Grill,Calgary,,51.077239945600006,-114.00293676700001,american,,3.5,0.2554672580711267,0.2451869033053076,0.13665397390776815,0.0,0.3463118334079858,0.01638003130781176
51OJLUlwKQg7GV30TdoJjg,Montana's BBQ & Bar,Calgary,,51.12855807800001,-114.202841513,american,2.0,3.0,0.24268146268590235,0.1549990959548536,0.0565024357156037,0.08362884597945396,0.38330480544323703,0.07888335422094944
