business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Customer Service,Pizza,Pasta,Order/Waiting Time,Atmosphere
-CLTZ0cO-ooKDDmXHFoGMg,Pi Co,Toronto,Yorkville,43.670003200000004,-79.3898095,italian,2.0,2.2857142857142856,0.1374284864064007,0.37636157303372925,0.1007813315959398,0.21606646864841264,0.16936214031551758
-L88B-PrtzwujhLuYc2k_g,Joe Badali's Ristorante Italiano & Bar,Toronto,Downtown Core,43.6453652,-79.3843545,italian,2.0,1.9166666666666667,0.24711316196084276,0.039363585841704775,0.2662193200076575,0.2068440236714294,0.2404599085183656
-b-waFIsc6BJdXWOJMRKEQ,Marinellas Italian Restaurant,Toronto,Bickford Park,43.655076405699994,-79.4154641032,italian,3.0,1.0,0.0392336328281899,0.02404982455887078,0.5399308821691255,0.1325043366089463,0.2642813238348675
-t2b2DaLhrb2-Ngv8Tvw9w,Il Sogno Ristorante,Toronto,Mount Pleasant and Davisville,43.7005834,-79.396869,italian,2.0,1.6666666666666667,0.2245499037592715,0.030975768703333156,0.24351959527196995,0.2942811894282374,0.20667354283718806
-w2WaIQWPH4iNeJz7IZKDw,Coppi Ristorante,Toronto,,43.731676799999995,-79.40354559999999,italian,3.0,1.6,0.36368481016343096,0.0010833319735596388,0.17051287141939953,0.3211264487459025,0.1435925376977074
02Ycww2etUAxorZb5gIM8Q,Tre Mari Bakery,Toronto,Corso Italia,43.6765075,-79.44872009999999,italian,1.0,3.3333333333333335,0.03651093858606538,0.041572455567096475,0.17951447966818132,0.13659382762011155,0.6058082985585452
0Ovh4Vn9ntMt5Ara-ZP2sA,Cinquecento Trattoria,Toronto,Liberty Village,43.6401061,-79.4212152,italian,2.0,2.3333333333333335,0.13962054552050152,0.010755757263680485,0.3236891534773301,0.2780635634967875,0.24787098024170026
0XZkaHXjxHAhJc_jPtoJCA,Vita Sociale,Toronto,Yonge and Eglinton,43.7114497,-79.3995315,italian,3.0,1.5,0.11496486966463909,0.031072717999558887,0.08167957749435148,0.6299269258945827,0.14235590894686787
0k6B3X0sinFB7ASe1lWg1Q,Pasta Mondo,Toronto,Yonge and St. Clair,43.687158312600005,-79.39700985520001,italian,1.0,1.0,0.0069181830905611485,0.04614991523706181,0.6609849679320916,0.03426970351318843,0.251677230227097
0pHBqJT0mzu9bO6D33Byug,Alio Restaurant & Wine Bar,Toronto,Downtown Core,43.6557849,-79.38419240000002,italian,2.0,1.0,0.03257388709411954,0.0170546834844721,0.1520891140559184,0.2389158476064428,0.5593664677590472
0r9NuzpFE6l0hwVAJDnhVg,San Francesco Foods - Bay,Toronto,Downtown Core,43.6593807,-79.385626,italian,2.0,1.6666666666666667,0.053590559638518505,0.13597291952842647,0.26436128738989395,0.2562233228309246,0.2898519106122364
0rMFhLzeq3Z2OaJ62MQXlw,Spiga Ristorante,Toronto,Yonge and St. Clair,43.6862465,-79.39356140000001,italian,3.0,3.0,0.8107157217837337,0.0,0.0384280356543851,0.0,0.15085624256188115
0xy5_iqOYWp_XRXpeb-IFQ,ViPei Bistro,Toronto,,43.731530600000006,-79.4040711,italian,2.0,4.0,0.0,0.025726818373594987,0.022245417719366178,0.0,0.9520277639070389
17YCQTKmq4D5sMMaY1EbqQ,Olivia's At Fifty-Three,Toronto,Palmerston,43.6556662,-79.4138811,italian,3.0,2.0,0.13741488163364823,0.0008748339092248091,0.24789341469392084,0.2244908090973852,0.3893260606658209
1PJpo48hSChCbriXEHGSjw,Opus Restaurant,Toronto,The Annex,43.6692085,-79.3972042,american,4.0,3.0,0.31318361218330526,0.005393042293902655,0.3768794742570297,0.04961778974439071,0.2549260815213717
1PJpo48hSChCbriXEHGSjw,Opus Restaurant,Toronto,The Annex,43.6692085,-79.3972042,italian,4.0,3.0,0.31318361218330526,0.005393042293902655,0.3768794742570297,0.04961778974439071,0.2549260815213717
1Z9rGyR3Ld2mtnOTE4pNcg,Big Slice Restaurant,Toronto,,43.6782843,-79.44246190000001,italian,2.0,1.5,0.17590907274550618,0.11027252050385601,0.07082086417133474,0.21979551475722037,0.42320202782208266
1gL9mw6HRbetCb9vOBoPQw,Pizzaiolo,Toronto,Yonge and St. Clair,43.6877499,-79.394666,italian,1.0,1.3333333333333333,0.09355907445679779,0.4894424520097626,0.03960442258234681,0.20465377151577321,0.17274027943531955
1kVicFRGjgUrB6IezlTTdw,Focaccia Restaurant,Toronto,Church-Wellesley Village,43.669422,-79.38575300000001,italian,2.0,1.5,0.23259939647961742,0.022667578754948545,0.25106782335207817,0.23889422274266345,0.2547709786706923
2-0Z3UeQZ_Mx98m8Dv3oeQ,Aria Ristorante,Toronto,,43.64341689689999,-79.3805038909,italian,3.0,1.5789473684210527,0.2819826251205592,0.00557802749544125,0.24478477315683117,0.21173560591528917,0.25591896831187916
2JkwKt66xu1NCA0J1laeig,The Cliffside Bistro,Toronto,Scarborough,43.7058996056,-79.25142422319999,italian,,3.5,0.11582555158024427,0.026552519870984465,0.0,0.2887016329484147,0.5689202956003566
2KooqK40Nd80sgIPE2ScyA,Sambuca Grill,Toronto,Downtown Core,43.6559258,-79.3929262,italian,2.0,2.0,0.19178755739497885,0.0,0.498792671169724,0.0799649911367009,0.22945478029859614
2i0dDzxLuQQAwzxDZVR-1g,Oretta,Toronto,,43.6439175,-79.4016289,italian,3.0,2.0,0.1364893132103897,0.19877791817056067,0.25407811194066166,0.20504961458249507,0.20560504209589292
3MmNFU-6po5M4hKRnQZusw,Invictus,Toronto,Corso Italia,43.6762825895,-79.449459212,italian,2.0,1.3333333333333333,0.1875833242863136,0.00723994816409641,0.3554972954254354,0.12238595936016988,0.3272934727639847
3QS2Wgedv3jjKC5vJXJTcA,Osteria Ciceri e Tria,Toronto,Downtown Core,43.652199700000004,-79.37815490000001,italian,2.0,2.0,0.20338734973157271,0.000549571094586986,0.18119835960940833,0.227348220333044,0.387516499231388
3YKV1eralyrKQqoWOTJMDA,Giulietta,Toronto,Dufferin Grove,43.6535007,-79.42760899999999,italian,3.0,5.0,0.3840941237602,0.010725644183970378,0.1943255317465504,0.14900914986990768,0.2618455504393716
3biAdoMqbR3E2tHikgd2kQ,AMA,Toronto,West Queen West,43.645041688199996,-79.4161209092,italian,2.0,3.0,0.15192954876123546,0.0,0.2833425000717578,0.024297879041490892,0.5404300721255159
