business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Waiting Time,Pizza/Crust/Toppings,Customer Service,Pasta/Sauce,Atmosphere
-7-uHFjQLH_uxPauYtd8iA,Prego Cucina Italiana,Calgary,,51.052572,-114.0687397,italian,2.0,4.0,0.2496809761582788,0.008081567903364109,0.3098743884169283,0.23654510545403026,0.1958179620673985
-D2vGSq_SvuCmHdqsDxzeA,Sugo Caffe Italia,Calgary,,51.0419065,-114.0360567,italian,3.0,3.92,0.42252365329425295,0.003528113456194497,0.17323714497019865,0.18042872809279736,0.2202823601865564
-kv7Uaf2hCtRCio8uESgwg,Roma Catering,Calgary,,51.07571,-114.00429,italian,,4.0,0.2071889855948393,0.055581040070979935,0.2054172420368973,0.2272916958572094,0.3045210364400741
-v0d7t-7AjNzn9GzdZZGDw,Franca's,Calgary,,51.08648,-114.0519195,italian,2.0,4.6,0.32750828216700895,0.016154101769494444,0.18000963464994987,0.12975126838467982,0.3465767130288667
0LL9gKKj8AWOZBYeh_tk0g,Avenue 16 Kitchen & Bar,Calgary,,51.083142206800005,-114.20700542799999,italian,2.0,4.0,0.43099617378329547,0.0,0.07194162705889569,0.012818156348039657,0.4842440428097692
1KxcxGMRy-hMwkdl9EN3KQ,Fiore Cantina Italiana,Calgary,,51.0379349788,-114.07671361,italian,2.0,3.3695652173913038,0.21092100667182667,0.04591999715225415,0.1747546626068785,0.3613257111505795,0.20707862241846106
1Uco6roZusuNYST18eqPhQ,Spinelli Italian Centre Shop,Calgary,,50.9631975,-114.0601821,italian,2.0,3.5,0.15384396803161288,0.12276685012911083,0.3286524443396001,0.054324182981680194,0.3404125545179961
1tUUCVKiFRfocWjKJgL3Gg,Domino's Pizza,Calgary,,50.9324294753,-113.983096836,italian,2.0,3.6666666666666665,0.09388276684358844,0.5142781014935768,0.015868855654577737,0.012696230364800498,0.3632740456434565
2MV0BXsvhPpVgICk9BCktQ,Pranzo Italiano,Calgary,,50.9840240479,-114.07286071799999,italian,1.0,4.666666666666667,0.16671135690858274,0.10919463210926966,0.05401184257076095,0.3543271258826728,0.31575504252871384
3JnZTwqbR2E3Z0iLB_7BjQ,Via Cibo,Calgary,,51.038632,-114.094402,italian,2.0,3.8571428571428568,0.2939567311743732,0.13995938401884309,0.11925538425341195,0.2316748212195541,0.21515367933381765
3n6Ki1m1Qwy3KK3asRPgHQ,Famoso Neapolitan Pizzeria,Calgary,,51.0321985,-114.0719307,italian,2.0,3.9876543209876543,0.16385773540034546,0.5068949939639551,0.1255535676069485,0.060571934476281224,0.14312176855246986
4AeRoZatBMd0gOjOdGAA5g,Pimento's Italian Cafe & Catering,Calgary,,51.0491419,-114.0828187,italian,,4.333333333333333,0.2394512186566448,0.4412165121631933,0.005526586816156404,0.059995821123196215,0.2538098612408093
4bBrCQX1oE5pJ8mWcfha0g,Carne 'Street Meat',Calgary,,51.045533398,-114.05939717700001,italian,,3.4,0.2507392473188307,0.03135226472125329,0.21055118812179255,0.2217234965037685,0.2856338033343549
5DqyJuZfKTjZnwz38pSV9w,Pizza Hut,Calgary,,50.9325035,-113.9703761,italian,1.0,4.5,0.12985178563118496,0.5619497342304425,0.19956380262739346,0.1086346775109792,0.0
6_RfPTsGA42U5orLc9WjPw,East Side Mario's,Calgary,,51.0746076075,-113.98936088399999,american,2.0,2.6875,0.3476007952775149,0.09581504399988652,0.09149194547075508,0.3112606446655273,0.1538315705863161
6_RfPTsGA42U5orLc9WjPw,East Side Mario's,Calgary,,51.0746076075,-113.98936088399999,italian,2.0,2.6875,0.3476007952775149,0.09581504399988652,0.09149194547075508,0.3112606446655273,0.1538315705863161
6jFpRzEinLn52YafGytaGg,Pizza Hut,Calgary,,51.1379887,-114.158837,italian,1.0,4.0,0.15933458948163925,0.4541821097978456,0.11933605801092025,0.1613769621858201,0.1057702805237748
72mOsnHEjZOPNNDyiqAVEA,Green Olive Italian Restaurant,Calgary,,51.069432,-113.933831,italian,2.0,3.0,0.21867488177100572,0.01638856967206357,0.07239128286975582,0.4442377133253273,0.24830755236184765
7H2mRn5Z9v65Ii0juNWhww,Buon Giorno Ristorante Italiano,Calgary,,51.037824,-114.080915,italian,2.0,4.170212765957447,0.21431246153882924,0.003251855486512077,0.19866200436642975,0.31193867364643113,0.2718350049617979
7YV-tNbr2-5rbf0atsntsg,The Old Spaghetti Factory,Calgary,,51.0506705859,-114.06986191,italian,2.0,3.0571428571428565,0.3923109139295542,0.007666372733592737,0.1580229122419999,0.25326880140912794,0.18873099968572535
7aSOA5TfyIH3KHdSqRoTaA,Carino Japanese Bistro + Wine,Calgary,,51.0585339,-114.0546608,italian,2.0,3.952380952380953,0.3798771744396978,0.00873490735089881,0.1568110326434536,0.2206586056061012,0.23391827995984865
7uJ9hTBllj6pB3CBlFV97g,Why Not Italian,Calgary,,51.0486407624,-114.186460558,italian,3.0,4.0,0.1915861310992948,0.011714468475244641,0.25642973307532524,0.2938519799776505,0.2464176873724849
8E_EuXDOFmwGLbDVwkO21g,Bonterra Trattoria,Calgary,,51.0434805715,-114.08121995799999,italian,3.0,4.1875,0.3289278717232186,0.017775781426298,0.21483914118948413,0.2344260793716573,0.2040311262893421
8VVwhBytejY0ozhucdkvgw,Gnocchi's Ristorante & Dining Lounge,Calgary,,51.0411945,-114.0813991,italian,3.0,4.4,0.1258601282945695,0.055807879651596067,0.33399627535284104,0.28910552262567696,0.19523019407531644
8cV1ZgT9rhhj-uQOBKJpag,La Brezza Restaurant & Cafe,Calgary,,51.053378233900006,-114.040612869,italian,3.0,4.225806451612904,0.23833819886528845,0.007805396714684498,0.20641128441454995,0.26292513761454817,0.2845199823909288
8h7iYO4WLnzpqEj8dozjIA,Sorrentino's Bistro-Bar,Calgary,,51.0357532,-114.1675514,italian,2.0,3.0,0.3912125698076943,0.003915186431968412,0.12320845809189405,0.2336760330839909,0.2479877525844525
8tsHVHhr5oWaCFL1ObffnA,La Vita E Bella,Calgary,,51.0411974,-114.0559676,italian,3.0,4.25925925925926,0.2596473153258111,0.006178400258035736,0.20719624005522524,0.3245945817207536,0.2023834626401744
9_K9P144hsMNZp_1rIGzLg,K2 Grill and Wine,Calgary,,51.0129381262,-114.140121527,american,4.0,4.5,0.2300576136863255,0.006044046843312151,0.052200755919429936,0.1180776842015568,0.5936198993493755
9_K9P144hsMNZp_1rIGzLg,K2 Grill and Wine,Calgary,,51.0129381262,-114.140121527,italian,4.0,4.5,0.2300576136863255,0.006044046843312151,0.052200755919429936,0.1180776842015568,0.5936198993493755
A8H1dW49CEXj6vWKc2G-3g,Vero Bistro Moderne,Calgary,,51.0530724106,-114.08609953,italian,3.0,4.217948717948718,0.3307495152685344,0.011368072305405923,0.1796593819359601,0.19080722895919885,0.2874158015309007
APpZ6wQ0kkTf01trskWOoQ,Gus's Cafe & Pizzeria,Calgary,,51.067437,-114.1284468,italian,2.0,4.238095238095238,0.15749543146844602,0.4255373028938359,0.1486966627508912,0.10071929874596694,0.16755130414085995
BGX5dWkh-0jl4_wpSaWtbg,Teatro,Calgary,,51.0457832,-114.0590836,italian,3.0,3.9864864864864864,0.4191591411656816,0.008252748974374821,0.19590632497503624,0.15223913352115526,0.22444265136375227
B_78aIW4rO4kLN1SeSQPCw,Caffe Francesco,Calgary,,51.029669,-114.136184,italian,2.0,4.454545454545454,0.1712805212457299,0.07541037052648987,0.2341404395423921,0.19483065487883894,0.3243380138065492
C26JCDr5NJ3oj5ca90SOVQ,Villa Maria,Calgary,,51.0379239326,-114.07360497100001,italian,3.0,4.0,0.12773348003187013,0.014023723807194776,0.2540698625548557,0.42115260312067787,0.1830203304854015
CxRBRrtd7NHz890gWPG9AA,La Casa d'Italia Ristorante,Calgary,,51.0778425,-114.0625209,italian,3.0,4.25,0.06190128358434404,0.02537272160975085,0.3068975036324829,0.04276979295589477,0.5630586982175274
D3vvoWBKQKSOprvY6CT_vA,Cardinale,Calgary,,51.041089,-114.055716,italian,3.0,3.555555555555556,0.3550327596252701,0.010114002133279074,0.04632206802381754,0.4262533810847415,0.1622777891328918
DMwv32s6bNPpGZY9sq8aKw,La Brava Sheesha lounge,Calgary,,51.0405369,-114.0658705,italian,2.0,3.0,0.6127101459069029,0.040206014512161485,0.04130324970718504,0.014926067927616945,0.2908545219461335
DY9N1xz75YDAywlWkcqtmw,Carlianos,Calgary,,51.0204314,-114.0605826,italian,,2.0,0.4031905740264494,0.026459612899797542,0.0018898524252933585,0.21708999350762728,0.35136996714083235
