business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Waiting Time,Pizza,Delivery/Reservation,Chicken/Pasta,Customer Service,Atmosphere
-mhBbHbh5T_hxKZUYfdexw,TSS Grill,Las Vegas,Sunrise,36.149751,-115.07625359999999,italian,,1.0,0.0,0.0,0.0,0.0,0.3460237045471342,0.6539762954528658
-xbQQR_ydEJGqYzHSF4DnQ,Maciano's Pizza & Pastaria,Las Vegas,Spring Valley,36.086034399999996,-115.30731159999999,italian,2.0,1.8148148148148149,0.1095879087336076,0.16902625386762388,0.30683403980889357,0.09008598376652345,0.18069479920959422,0.1437710146137573
0InA3Ffj8MxyQV9hgsyYcQ,Novecento Pizzeria,Las Vegas,Northwest,36.264773,-115.25796799999999,italian,2.0,2.0652173913043477,0.10679054910011848,0.38302349942114267,0.11573259941423795,0.09885324764777678,0.11083622685647032,0.1847638775602538
0NmTwqYEQiKErDv4a55obg,Scarpetta,Las Vegas,The Strip,36.1102405779,-115.17428845200001,italian,3.0,2.6555555555555554,0.19143921740699324,0.00431190494493778,0.05412595576257661,0.27054545769713056,0.32841028311131004,0.15116718107705165
0aw3HbxkZ4G7pkPYt10fhA,Olive Garden Italian Restaurant,Las Vegas,Sunrise,36.160551299999995,-115.0617047,italian,2.0,1.8285714285714285,0.2376925715142865,0.005463694245844742,0.21938798789758687,0.15781496191385844,0.25080897515773165,0.12883180927069193
0jtRI7hVMpQHpUVtUy4ITw,Omelet House Summerlin,Las Vegas,Summerlin,36.2019904392,-115.283122245,american,2.0,2.0,0.1656932131814687,0.011211293260955244,0.12099078981571978,0.14182236090851658,0.279156261522233,0.2811260813111067
0jtRI7hVMpQHpUVtUy4ITw,Omelet House Summerlin,Las Vegas,Summerlin,36.2019904392,-115.283122245,italian,2.0,2.0,0.1656932131814687,0.011211293260955244,0.12099078981571978,0.14182236090851658,0.279156261522233,0.2811260813111067
0mnnlFCploePlnEaddw63g,Aurelio's Pizza,Las Vegas,Northwest,36.239672799999994,-115.2259534,italian,2.0,1.6666666666666667,0.01652252699740667,0.44754946082846697,0.16478960339426807,0.15607007792372304,0.04419498709415174,0.17087334376198351
0qet57CmMA5qUm6gPFUTpg,Di Fara Pizza,Las Vegas,The Strip,36.116163,-115.17505759999999,italian,2.0,1.5897435897435896,0.09059371117243825,0.5422215882448095,0.05731559384084458,0.10269146212229074,0.11869917437282264,0.0884784702467944
0xdpv5CPpbUUch7JKBG98Q,Sirio Ristorante,Las Vegas,The Strip,36.1068839544,-115.174226761,american,3.0,1.7142857142857142,0.18187458671403403,0.010762241789166929,0.06820465707975736,0.32767126099978455,0.2745068212994068,0.13698043211785035
0xdpv5CPpbUUch7JKBG98Q,Sirio Ristorante,Las Vegas,The Strip,36.1068839544,-115.174226761,italian,3.0,1.7142857142857142,0.18187458671403403,0.010762241789166929,0.06820465707975736,0.32767126099978455,0.2745068212994068,0.13698043211785035
0xzmIBsJQc5eUNLucFrZ0Q,Stratta,Las Vegas,The Strip,36.1260652563,-115.17215976799999,american,3.0,2.5789473684210527,0.18687335439572086,0.1599766189839751,0.06616125588438974,0.243219240208746,0.10754419879108423,0.23622533173608412
0xzmIBsJQc5eUNLucFrZ0Q,Stratta,Las Vegas,The Strip,36.1260652563,-115.17215976799999,italian,3.0,2.5789473684210527,0.18687335439572086,0.1599766189839751,0.06616125588438974,0.243219240208746,0.10754419879108423,0.23622533173608412
12P7GjIoq6oj7qCyJ_c0Ag,Little Caesars Pizza,Las Vegas,Northwest,36.247393200000005,-115.2096463,italian,1.0,1.2142857142857142,0.11558866798620861,0.2996770388215851,0.18300049868397286,0.07295524897883632,0.11440841850298059,0.21437012702641647
1FAvxOUOGGyZoYNlAXACag,Dal Toro Ristorante,Las Vegas,The Strip,36.124268,-115.16950700000001,italian,2.0,1.574468085106383,0.24520270531132485,0.019601867084094643,0.07381901325097835,0.1286280321231128,0.32351084466939417,0.20923753756109523
1Iz9OlIJi12jLWrQYoUsAA,Chianti Cafe,Las Vegas,Summerlin,36.1936092,-115.3040091,italian,2.0,2.0,0.17235205627832892,0.017852285081323548,0.039905691509678584,0.26788622498562775,0.15507952030264538,0.34692422184239574
1JgaRBX0oiRsvEhHF3ZMjw,Upper Crust Pizza,Las Vegas,Summerlin,36.1929381,-115.3055866,italian,1.0,3.1,0.03207125805871393,0.49579014095311,0.050655100726034,0.08004359887262096,0.03707530067783314,0.3043646007116879
1Tak6Q-IlkDrdmLwrEZeSg,Off the Strip Just Real Food,Las Vegas,Spring Valley,36.099571818899996,-115.30722210200001,american,2.0,2.0,0.18877827230200556,0.0027073877303263865,0.14958790033753322,0.2004476585980945,0.2955223465608364,0.16295643447120386
1Tak6Q-IlkDrdmLwrEZeSg,Off the Strip Just Real Food,Las Vegas,Spring Valley,36.099571818899996,-115.30722210200001,italian,2.0,2.0,0.18877827230200556,0.0027073877303263865,0.14958790033753322,0.2004476585980945,0.2955223465608364,0.16295643447120386
1WBVqmo7tgF0z0eGf4fPhQ,Pastaidea,Las Vegas,Summerlin,36.196944,-115.26211699999999,italian,2.0,2.242424242424242,0.07819463144988469,0.002623228661384195,0.16360010912106202,0.32433768147371667,0.19276004136923722,0.23848430792471526
1eyfFwXY0NCS7SMXmgl_Dw,Bertolini's Authentic Trattoria,Las Vegas,Westside,36.1449499,-115.301818,italian,2.0,5.0,0.060598921632328696,0.0,0.0,0.015476757141389564,0.15267244151911347,0.7712518797071681
21sGRVR7HEs_t6PdB9tGMw,Angelina's Pizzeria,Las Vegas,,36.0852347,-115.20739579999999,italian,2.0,1.4320987654320987,0.04861765085569082,0.1442192967050107,0.41048730021716234,0.10513105077750362,0.1323774781771196,0.15916722326751293
2O_b-IAAW7SoPt__RX1Kww,Buca di Beppo,Las Vegas,The Strip,36.113615837,-115.169611573,italian,2.0,1.5,0.19428498733717878,0.017815922020713824,0.09993957331590084,0.2102477168038021,0.29926507494431986,0.17844672557808453
2SfSzEd3B7WimeZac23zhg,Leoné Café,Las Vegas,Westside,36.166996958,-115.286524787,italian,2.0,2.4375,0.15452120236397673,0.01745809805892756,0.12670943693670025,0.17249868557170486,0.18956059136436298,0.33925198570432763
2bK1ng2mnRdtTh_BDNGmIg,North End Pizza,Las Vegas,Centennial,36.2777222,-115.28630929999999,italian,2.0,1.646341463414634,0.02781734096025355,0.3201084831566029,0.2231206312087977,0.10113066866032773,0.11983338380390754,0.20798949221011057
30TxDt2V8G7FWXsKaEKA9A,Marco's Pizza,Las Vegas,South Summerlin,36.128052000000004,-115.31455600000001,italian,2.0,2.0,0.013862253559088655,0.3445606114427615,0.44664036068697033,0.01662373887262704,0.08389081679657567,0.09442221864197678
35sOd4isS-SJi92Yknn-Xg,Bella Luna Ristorante Italiano,Las Vegas,Westside,36.1431878,-115.26365009999999,italian,3.0,1.0,0.0,0.0,0.0,0.0,0.2931487818631354,0.7068512181368647
36ckWelVitpgX16g7lecqA,Canaletto Ristorante Veneto,Las Vegas,The Strip,36.12186320000001,-115.16964909999999,italian,2.0,1.3,0.3592430269330448,0.006142082278886432,0.04087098593049982,0.16274373882441223,0.20873843991012747,0.2222617261230293
38fDU-Bh7eD2oETpF24pAA,Made In Italy Pizzeria Romana,Las Vegas,Spring Valley,36.089649,-115.242873,italian,2.0,3.0,0.0,0.3748115864073141,0.10737210949222264,0.0,0.0,0.5178163041004632
45513UgSlMqWV_yAPVkXrg,Verona Pizza,Las Vegas,Eastside,36.115082539899994,-115.148105845,italian,1.0,1.375,0.029331099927713218,0.26395138678093377,0.34460138969233334,0.11774076412839932,0.09287510165163076,0.15150025781898954
46JVW4pwLDRIye4gYJboSw,Terra Rossa,Las Vegas,South Summerlin,36.1572810451,-115.333614349,italian,3.0,1.8333333333333333,0.1447733985563299,0.05963203409493296,0.05343002130026167,0.21709319990509438,0.39848526514558796,0.1265860809977932
4EfiNcKSsafogIhAjwv0gg,Rustica Pizzeria,Las Vegas,Spring Valley,36.1003949,-115.3047985,italian,2.0,2.03125,0.04363345705347224,0.25733789856631345,0.21492344076449948,0.1841349860066932,0.09843003873993851,0.20154017886908315
