business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Waiting Time,Atmosphere,Customer Service,Chicken/Sauce,Burger/Fries,Steak
-TSAXAz0CeNv73OAh9wu2A,Vagabond Brewery and Restaurant,Calgary,,51.0412573123,-114.05370281100001,american,2.0,1.75,0.14394780535905974,0.364889223578144,0.031139654201834795,0.029074132589066163,0.2566668142470709,0.17428237002482444
-W32WHlviv5JAmrYBXEF7A,Atlantic Trap & Gill Pub,Calgary,,50.9937557,-114.0714264,american,2.0,2.0,0.37010089609120334,0.20275313026256744,0.030320522489671337,0.1807915567266096,0.022501204172532187,0.19353269025741612
-ccmPDvaDFx5TbdKB1rgCA,Original Joe's,Calgary,,50.90352,-114.0585244,american,2.0,2.0,0.09639449383634996,0.3313693154976231,0.17311089555355094,0.1760597101642564,0.07483405407565051,0.1482315308725691
-dWbB9wKYsH-HESAANWajw,Bottlescrew Bill's Pub / Buzzards Restaurant & Bar,Calgary,,51.0436825,-114.0650951,american,2.0,1.6666666666666667,0.23384637626190985,0.37284928901581976,0.12109806429294873,0.017465988925090572,0.049588690736378005,0.20515159076785305
-hBRP99YCr_8Xb8WG5YQmg,Moxie's Grill & Bar,Calgary,,51.0472918,-114.0808518,american,2.0,2.375,0.12998196219000516,0.12228336094128905,0.28386652952009644,0.2292925270907775,0.07987406218259141,0.15470155807524044
0X8MLdXMghaBkGFTMolZcw,Moxie's Grill & Bar,Calgary,,50.9057756,-114.0669213,american,2.0,1.0,0.24090634816626186,0.3600148387184575,0.07808300262514634,0.12614774585483812,0.0029371700966257697,0.19191089453867047
0ZVtPnEq69epPqao-RwWug,Montana's Restaurant,Calgary,,51.13058296649999,-114.009733313,american,2.0,1.25,0.008930639159204959,0.19937650451357491,0.1159255714495976,0.0660675888467557,0.13116333324167753,0.4785363627891892
0jVLEi0Y5hfwApkpD25r6A,Big T's Bbq and Smokehouse,Calgary,,50.9309509724,-114.026833308,american,2.0,2.0,0.2098217533414722,0.4443477264188993,0.11288342905108767,0.03905831782345324,0.025313869081771183,0.16857490428331634
1-mycIcKFGbvqLE60XrwnQ,Chili's,Calgary,,51.130466,-114.010191,american,2.0,2.1666666666666665,0.31722224660324044,0.3285274167623608,0.16311298355629836,0.04236551628029422,0.050940524189711366,0.0978313126080948
1D-5uvzEiTljiq69uSjWHg,Denny's,Calgary,,51.0968723675,-114.054535567,american,2.0,3.0,0.03849601780328283,0.1975748020811173,0.6098853354299545,0.03450018291105203,0.0,0.11954366177459334
1bRozVurn_mL11YGsitNMw,Swiss Chalet Rotisserie & Grill,Calgary,,51.1553574384,-114.060465701,american,2.0,1.25,0.11711240157581868,0.2598360469381811,0.2795694164206676,0.17282654166352954,0.1706555934018031,0.0
