business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Waiting Time,Dim Sum,Customer Service,Dumplings,Chicken Rice,Noodles/Soup
--SrzpvFLwP_YFwB_Cetow,Keung Kee Restaurant,Toronto,Milliken,43.8067504,-79.28885809999998,chinese,2.0,2.0,0.32315893078585844,0.02705708964137962,0.49963540998880746,0.00953183966953229,0.08334530361365564,0.057271426300766634
-M9S1wlZTvv6T9EOo5X2Yw,Grandeur Palace,Toronto,Scarborough,43.79780220000001,-79.2708324,chinese,2.0,1.6842105263157894,0.3381890135444953,0.20896701805305345,0.22976782506973203,0.028491546813474714,0.07103690989557636,0.07091610767629977
-UPP0Q_kZsuQ2zZ1k7lbyQ,Tasty Delight Fusion Cuisine,Toronto,,43.7915787,-79.36674649999999,chinese,1.0,1.1428571428571428,0.37194462321923666,0.003912148500855118,0.10591234786536849,0.007159839861090846,0.14617586063167098,0.3648951799217778
-cYOKJ5kbVZqzSYQIzZcqA,Kingston Chinese Restaurant,Toronto,Upper Beach,43.680487799999995,-79.28753959999999,chinese,2.0,1.2,0.12139526311137971,0.0015967861894967898,0.16553624216732382,0.06694331191244005,0.47528203652810797,0.16924636009125163
-xEGQKqXZzvkdyVQilQtrg,Royal Dumpling,Toronto,Willowdale,43.774992299999994,-79.4134696,chinese,2.0,1.3333333333333333,0.2964071851639191,0.024569549211408564,0.19871851072540192,0.14318286989024373,0.08112626160924748,0.25599562339977916
00I_YBjgZAvd2ggZr3J0cQ,Shanghai Chinese Restaurant,Toronto,Willowdale,43.7773323,-79.41467490000001,chinese,2.0,2.0,0.12518976885294084,0.035448479465087,0.4913721392940135,0.009116115645287885,0.04214785044273148,0.2967256462999393
0BeKOp6cWw4ArB04lnyBYw,Yummy Chinese Food Restaurant,Toronto,Parkdale,43.639365399999996,-79.44252970000001,chinese,1.0,3.0,0.0,0.0,0.767695854070561,0.05123346974079922,0.1135630218786306,0.06750765431000924
0Eqjt54KPklmWTsly9ltyQ,South China,Toronto,Mount Pleasant and Davisville,43.701910600000005,-79.3873304,chinese,2.0,1.3333333333333333,0.17370354691785772,0.0,0.360925345725843,0.009180598165473399,0.20189179468932753,0.2542987145014984
0GmQjd_LXUyKXD_utcLuPA,Imagine Noodle,Toronto,Milliken,43.822818822200006,-79.3008436317,chinese,2.0,2.0,0.0,0.0021634481286184714,0.23565265136513844,0.024427534000763564,0.05486158514468061,0.682894781360799
0LA4HKI7ydji1zwnqDbgnw,Sweet Lulu,Toronto,Trinity Bellwoods,43.64566129999999,-79.41157079999999,chinese,2.0,2.0,0.4493262730745611,0.0,0.06387198048576839,0.00436942902813304,0.1492471900974549,0.33318512731408256
0Mhw1lD_Zwsv4Vo6oQrPWA,Wah Too,Toronto,Downtown Core,43.6549211,-79.38708079999999,chinese,2.0,2.0,0.04920353012604136,0.0,0.0,0.06559187205697393,0.40985371651133334,0.47535088130565123
0d_aewXm7wVlaTW8Glzxdw,Danforth Dragon,Toronto,Greektown,43.6797052,-79.3397512,chinese,2.0,1.75,0.05269899894797604,0.051822257202043455,0.3421014787399923,0.035734947868456,0.4083917381669109,0.10925057907462138
0gj8bpTF6I6T_C5xyBUafw,Arden Fast Food,Toronto,Milliken,43.813861100000004,-79.2916014,chinese,1.0,3.0,0.1481976922224029,0.0,0.5026929685867124,0.032250533167943136,0.1319436231448656,0.18491518287807596
0sPOBQHlVvuhO1h-1p1ccQ,Origination,Toronto,Chinatown,43.6533253829,-79.3953588346,chinese,2.0,1.4285714285714286,0.3264587856465158,0.0187007693675837,0.3202699904862958,0.0,0.01352353279225481,0.3210469217073499
1DkpdmcxLCRXAdEi6TdOFw,Anne's Magic Kitchen,Toronto,Chinatown,43.653700988800004,-79.39485836770001,chinese,2.0,2.1538461538461537,0.2046520994901792,0.012434421500077683,0.1997259788937772,0.004598417556382466,0.08596771398062228,0.4926213685789612
1FL3oE2mqq_EFAYPd1TWUg,Meet Dumplings,Toronto,Church-Wellesley Village,43.6679551,-79.38566340000001,chinese,1.0,1.5625,0.23675271271815043,0.009950410448223281,0.1960694998940666,0.4233891497169993,0.06277131292435162,0.07106691429820879
1HplwLVbBid-Bgw1sEPGFg,Dumpling Melody Bistro,Toronto,Etobicoke,43.5968575551,-79.52330516560001,chinese,2.0,1.25,0.3787055343752672,0.01378897190479434,0.2621540600519211,0.03166423373105939,0.21413560182338137,0.09955159811357656
1XCR1GxL44O2hg3ehRwtMA,Szechuan Express BAC,Toronto,Downtown Core,43.6503406,-79.3805207,chinese,1.0,1.3333333333333333,0.2820522989158983,0.0028813542214017954,0.15665197867753297,0.0,0.3620231474025493,0.19639122078261764
1jNteKQ2JuF6Sk1SI9X23Q,P F  Chang's,Toronto,,43.733719,-79.344753,chinese,2.0,1.4,0.24997244178183003,0.012952937616213878,0.3607765326400513,0.02199993422489084,0.20583012326197517,0.14846803047503881
1yAbNyUgJhOjCz9EcOCWdA,Forestview Chinese Restaurant,Toronto,Chinatown,43.6533314,-79.3967309,chinese,2.0,1.6363636363636365,0.12297230517918235,0.5520695109642723,0.18584820432269675,0.05057031953763538,0.033383134508069075,0.055156525488144155
2FImjoBv0qvq9NumhcVOyA,South Asia Malaysian Cuisine,Toronto,Milliken,43.8146311,-79.2932514,chinese,2.0,2.3,0.09160880961700638,0.0019386703182998517,0.33444454963891096,0.01460400303447757,0.2224559708170765,0.3349479965742287
2OB0p5idPAicilqf_wzHLQ,Oxtail Pho & Banh Mi,Toronto,Little Italy,43.6518091,-79.40893740000001,chinese,2.0,2.2,0.34478310017809516,0.015167156075105756,0.28833024549453423,0.039681206110177766,0.01708167401347633,0.2949566181286108
2Q89PhkcyT9uZnQORmqMKg,House of Gourmet,Toronto,Chinatown,43.6532248,-79.3972469,chinese,2.0,2.3859649122807016,0.2642580993201983,0.030460237180047235,0.300368227296901,0.046034031885214294,0.14743647023776754,0.17635521478162605
