business_id,name,city,neighborhood,latitude,longitude,cuisine,RestaurantsPriceRange2,stars,Chicken Rice/Shrimp,Dim Sum,Customer Service,Noodles/Soup,Waiting Time,Pad Thai/Curry
-EohS3nXZGl6odE9Lx5BSw,Panda Express,Las Vegas,Eastside,36.1008337598,-115.054328806,chinese,1.0,3.6666666666666665,0.0015043325311218465,0.007112270026152172,0.48033850672584194,0.019025563237506486,0.4841921591023035,0.007827168377074057
-FcZY7a7qgxTUlTvwuyJnQ,8 Noodle Bar,Las Vegas,South Summerlin,36.1569067426,-115.33299091299999,chinese,2.0,3.807017543859649,0.11452988835226505,0.018276104921683585,0.1708930390933509,0.24038140836811533,0.28709517468725226,0.1688243845773325
-FlrlELIGmCqdt_JxbdFgg,Panda Express,Las Vegas,Summerlin,36.1937598519,-115.305485597,chinese,1.0,4.25,0.15663075309394706,0.0,0.4702814188968103,0.05294184991819249,0.3082096519197721,0.011936326171278103
-YWr1wm_NaAlgEf9TZzsMQ,Jumbo Super Buffet,Las Vegas,Westside,36.152620399999996,-115.20751100000001,chinese,1.0,3.130434782608696,0.1493038836650783,0.07598278573367986,0.2468673480570713,0.04288871564850236,0.47003789763240905,0.014919369263259128
-vb_yx5QnIhpXUIdPVD2og,Fair View Chinese Cuisine,Las Vegas,,36.1948912,-115.20511450000001,chinese,1.0,3.8,0.3249649107558966,0.019950736484908315,0.19728047785545072,0.009329880679545136,0.4348014408641868,0.013672553360012385
-wDNRL4lm1UgeFLG9KcrjQ,Yummy Grill & Sushi,Las Vegas,Southeast,36.012748241,-115.119379794,chinese,2.0,4.052631578947368,0.16257115537603373,0.005381281476034124,0.2795509386373677,0.07616398987102532,0.45144914308072814,0.024883491558811015
-zkn2p1mu9g-kbGNdM1lUA,Chinos Locos,Las Vegas,Downtown,36.1673732,-115.14580729999999,chinese,1.0,4.25,0.18507922090731538,0.003799459839786342,0.3491245830388277,0.09316218413212095,0.3178087616878886,0.05102579039406108
01Ov9eDxKRY5k6ImMdiWLQ,Hong Kong Garden Seafood & BBQ Cafe,Las Vegas,Chinatown,36.127185299999994,-115.22501129999999,chinese,2.0,3.8796296296296298,0.1461060847145832,0.022984675018081317,0.21687306620734167,0.15909831478903702,0.4337789459697264,0.021158913301230195
0APIz0O0c_XBDXQIWkJimA,King Solomon's Table,Las Vegas,,36.114813700000006,-115.2031568,chinese,2.0,4.666666666666667,0.030635229863737585,0.009025660301287057,0.5590347274944548,0.004227589693383979,0.3782976325079834,0.0187791601391531
0DQ31asd4IeOTI7dkZ3OXQ,Sea Harbour Seafood Restaurant,Las Vegas,Westside,36.1598136,-115.24073929999999,chinese,,5.0,0.18993023038709156,0.002463865983143566,0.14993379733879342,0.07772249190469156,0.5799496143862799,0.0
0VjHFdczi6Nln_nn8bucJQ,Pho Bistro,Las Vegas,Eastside,36.11396129999999,-115.0909203,chinese,1.0,4.5046728971962615,0.09725411536913567,0.012212308988066222,0.3775850240258311,0.13885339124912643,0.3212691181640918,0.05282604220374888
0c6PQILCLwRZ8FIB4AEsGw,China One - West Charleston,Las Vegas,Summerlin,36.1593761663,-115.35067787700001,chinese,1.0,4.0,0.23209489060364968,0.01019310485608326,0.2811287035703916,0.13523155617847413,0.30119894826963817,0.04015279652176318
0dr1FgqQSEMbaTu9SDqiIg,China A Go Go,Las Vegas,,36.19944520000001,-115.242678,chinese,1.0,4.373333333333333,0.24519062103064418,0.008918691429396974,0.40282045238232134,0.07891412932018872,0.21558847696363764,0.04856762887381126
0eZHVYDyACtVVOIgoBlV3g,Da Sheng Chinese Cuisine,Las Vegas,Chinatown,36.125489034299996,-115.19707784100001,chinese,1.0,3.8484848484848486,0.21534641831355422,0.005515431730730066,0.16700928668287535,0.19326820771383024,0.3663102395083342,0.05255041605067606
0nlocywsFHQmEt8_xbHNiw,Long Jin Chinese Cuisine,Las Vegas,Spring Valley,36.100876899999996,-115.24459679999998,chinese,2.0,4.0606060606060606,0.27200799525472313,0.011243798102647204,0.20829192404585808,0.11067466603649864,0.36810903841382436,0.029672578146448397
1NZNZHnGE4-FLZmU6xp3oQ,Kung Pao Wok,Las Vegas,Downtown,36.163789265300004,-115.157902166,chinese,1.0,2.8333333333333335,0.3453041501733607,0.01427671734057643,0.16597621690083195,0.07263676565432957,0.36513251798404694,0.03667363194685443
1PFg5TTddZiTmkBq0RuqzQ,Vid Noodles,Las Vegas,Southeast,36.042286232100004,-115.121729895,chinese,1.0,4.142857142857143,0.021025402535208508,0.006624154275102309,0.3763515347765235,0.3922690065505879,0.19281456337418826,0.010915338488389511
1ZHBhMwi9rdXJ92QPHrWLw,Dragon Buffet,Las Vegas,Sunrise,36.1622362,-115.0621037,chinese,1.0,2.5,0.03699097526317137,0.007391814920267727,0.16905643562854772,0.0009651274500530968,0.7628156240435523,0.022780022694407893
1ZnVfS-qP19upP_fwOhZsA,Big Wong Restaurant,Las Vegas,Chinatown,36.126663,-115.20992,chinese,1.0,4.1553956834532375,0.28147755754035575,0.010889437406747896,0.19545418896509742,0.17420930268308038,0.2711874995919891,0.06678201381272894
1fG7Xg4dLzcKIApzJiXtXw,Tae Heung Gak,Las Vegas,Chinatown,36.1267694221,-115.24205379200001,chinese,2.0,4.636363636363637,0.2511575222949175,0.01659478150642331,0.12849634717520486,0.2902226120378825,0.2991870242268235,0.014341712758748277
1i4iRBkkNU_o_S2pY7W7kQ,Panda Express,Las Vegas,Sunrise,36.1454263,-115.0648047,chinese,1.0,4.066666666666666,0.13827033415105866,0.012554391757742065,0.454057654683568,0.0037493673968139333,0.3749231260848029,0.016445125926014475
1lRytuj8IdLMHDFl2LetxA,Fortunes,Las Vegas,,36.1153808,-115.1981452,chinese,2.0,2.5714285714285716,0.14704594875371638,0.4076560467061121,0.011834256669380264,0.04750435548778489,0.3726212659885772,0.01333812639442914
1nM-ES-xVqL0yQGTCwtd-Q,Thai Taste,Las Vegas,Westside,36.1712924,-115.24490800000001,chinese,1.0,4.090909090909091,0.10937984489727466,0.007402629192530199,0.18473365337326406,0.04647630668788689,0.21566911514841072,0.43633845070063354
1qTx9z8RMz7RIYKAfnpZ0A,Lillie's Asian Cuisine,Las Vegas,Downtown,36.170349,-115.144506,chinese,3.0,3.7,0.15265414365172894,0.005553693223849939,0.20627931923244536,0.11644117463851426,0.4876801643887629,0.03139150486469882
1skTxDMBQSpElbLfhBgmVQ,China Joy,Las Vegas,Southeast,36.011596999999995,-115.137808,chinese,1.0,3.3846153846153846,0.317888032095478,0.009880130071237721,0.1746704510433456,0.05253275259089913,0.36413531974838154,0.08089331445065791
2YBO1LEKIgyle0uX50u15Q,Noodle Exchange,Las Vegas,,36.1163540204,-115.192880854,chinese,2.0,3.859375,0.15605181306191715,0.008721727050770983,0.14125844625988318,0.30597031915839495,0.3499779673655196,0.03801972710351398
2lUp2T09MltaVT5awHRElA,I. C. China Bistro,Las Vegas,Westside,36.1427540962,-115.269465633,chinese,2.0,4.526315789473684,0.17650904079864393,0.00950255286569993,0.3690399748084372,0.08937739106121184,0.2886844169639316,0.06688662350207533
2m4092MsMzEHkuxodaj6-g,Ondori Asian Kitchen,Las Vegas,,36.1027192,-115.20198400000001,chinese,2.0,4.256198347107438,0.15071711688093956,0.01364142680584585,0.29838129568802874,0.1382534130507154,0.37792145105564884,0.021085296518821628
2xbxXWeu3tpZEJdGTTGbLg,Fortune Chinese Restaurant,Las Vegas,Westside,36.1440254,-115.1938769,chinese,2.0,4.0588235294117645,0.1668297988086449,0.07679484406025028,0.21486743475974393,0.11451794987178722,0.3967451856210115,0.03024478687856222
310Eyru1zsZ9K7BA-bgPQw,1900 Asian Cuisine,Las Vegas,Chinatown,36.125587,-115.211199,chinese,2.0,3.5869565217391304,0.10426680702011151,0.073593465439444,0.08559346538981567,0.25213980266904473,0.4700430078361774,0.014363451645406594
31mm5EtlmT4557BTYAFOrA,China Gourmet,Las Vegas,Chinatown,36.126426,-115.21151699999999,chinese,1.0,4.6875,0.09955922349333095,0.03221567684863445,0.19296003278587667,0.33662897529995034,0.32212176600332937,0.016514325568878236
3TRgD3KLVis61eGvMZrykA,SK Seafood Restaurant 勝記,Las Vegas,Chinatown,36.126115889699996,-115.218089936,chinese,2.0,4.48936170212766,0.13976835213560043,0.026748534279661687,0.24953638363630049,0.16861257013143707,0.3839278871497615,0.03140627266723892
3j_mvJHnT7nJd7su_7zazw,Ginseng 3,Las Vegas,The Strip,36.118221000000005,-115.172532,chinese,2.0,3.193548387096774,0.08514507334483751,0.006103391146246871,0.1355337632072346,0.16318692978011748,0.5932671482117681,0.016763694309795366
3pGA9YGsDLRQ7HJLw5cwcQ,Yunnan Tasty Garden,Las Vegas,Chinatown,36.125693299999995,-115.21127779999999,chinese,2.0,4.2967032967032965,0.07555382575977064,0.011427312102689437,0.17727903302309025,0.3221605645894448,0.34847882420378495,0.06510044032121974
3rkxTx8DoZSl7_FryhXCVQ,Jugoo Chinese Restaurant,Las Vegas,University,36.1041299,-115.1377251,chinese,2.0,4.304347826086956,0.15499825918227708,0.004463295937803781,0.169507523476995,0.23078459375867877,0.39024118971124705,0.05000513793299838
4JkGjRRc3XucG9U8XwthGg,China Gourmet,Las Vegas,Sunrise,36.142718086100004,-115.066198111,chinese,1.0,4.487804878048781,0.2459626145413736,0.015332406811089156,0.34254837450642855,0.0917881476946774,0.2586075434574042,0.04576091298902708
52p6b51oPNIwWBXuvIao1A,Dem Noles Bois,Las Vegas,,36.188212,-115.222517,american,,5.0,0.3027120740907307,0.027844720955047104,0.057644815636632596,0.015505183068447712,0.5560423627697995,0.04025084347934244
52p6b51oPNIwWBXuvIao1A,Dem Noles Bois,Las Vegas,,36.188212,-115.222517,chinese,,5.0,0.3027120740907307,0.027844720955047104,0.057644815636632596,0.015505183068447712,0.5560423627697995,0.04025084347934244
5A9XLq-oNiua4fVrsRCaXg,Panda Express,Las Vegas,The Strip,36.12722410000001,-115.17155120000001,chinese,,3.0,0.14977338954743738,0.01193515917463823,0.11370322770211413,0.05477190442001719,0.6590796252103254,0.01073669394546772
5Dccw539NNtnyCgTu5ed5A,Thai House,Las Vegas,Southeast,36.0105784998,-115.134144854,chinese,2.0,4.182835820895522,0.12706281042260628,0.0035636615933139107,0.17997612200403926,0.057627745063098486,0.18126782188999532,0.4505018390269469
5FiuxRWs-indyk2Y9imkSg,Chopstix,Las Vegas,Southeast,36.041101,-115.12046000000001,chinese,1.0,4.188235294117647,0.3312079843335478,0.011927411558740716,0.2687877375430216,0.09108628577342125,0.256978871939718,0.04001170885155048
5Lcit9Zt6TF9bmKoFMhF0g,Noodle Pot,Las Vegas,Chinatown,36.125397085900005,-115.196422914,chinese,1.0,4.184426229508197,0.031995942125079224,0.012432274368866259,0.11168194409208554,0.6654629173858788,0.16374526453350588,0.014681657494583944
5OqrwhtZ3mcmUSwLINZTWQ,Blossom,Las Vegas,The Strip,36.1067631229,-115.17708712,chinese,3.0,4.316602316602316,0.15163663591656548,0.016123723657008378,0.28141853875597944,0.12122911025957911,0.4020617349597257,0.027530256451141967
5UvAxXy6BBgyuxv0B3ztjA,888 Noodle Bar,Las Vegas,Eastside,36.1345820974,-115.151610374,chinese,2.0,3.391304347826087,0.11061843932752931,0.005722074762981168,0.1947472859936477,0.2894054871500911,0.35633556730147925,0.04317114546427146
5VXlHFrYZZzj7zfZEsz5nQ,Dragon Noodle Co.,Las Vegas,The Strip,36.105289,-115.17403700000001,chinese,2.0,3.5277777777777777,0.1368084034407695,0.024798033830540436,0.1870274019946459,0.21509582759501875,0.42365811844750395,0.01261221469152169
68jn0s0snbO5dhasLaVvDw,Flock & Fowl,Las Vegas,The Strip,36.144296015,-115.162691921,chinese,2.0,4.526912181303116,0.49289357113208676,0.003800473283672356,0.19470956854012292,0.013412208081882317,0.24318256115260858,0.05200161780962711
6ANVuBMmpkXpFd5Hzkn4_Q,Red 8,Las Vegas,The Strip,36.1257833505,-115.165968373,chinese,2.0,3.6876712328767125,0.13059519057238278,0.10810195213809953,0.19272898281688083,0.14203181788679284,0.37447508235829385,0.052066974227549835
6OjAOpupZOllj6mzLomVuQ,Panda Express,Las Vegas,Northwest,36.249892200000005,-115.24413829999999,chinese,1.0,3.5,0.06796485109422012,0.0144236738825906,0.11750989721398385,0.05153591496598157,0.7485656628432239,0.0
6QUuDlLjNDQWFCbJ9--jsQ,Fú Asian Kitchen,Las Vegas,Eastside,36.109157,-115.154976,chinese,2.0,4.286713286713287,0.20279133121378426,0.03420343470543144,0.2715123743490912,0.09518282180743652,0.34054809839054334,0.05576193953371319
6WRVv6S1IWR0nt4Lr2w7Og,China A Gogo,Las Vegas,Summerlin,36.1593412,-115.3509104,chinese,1.0,4.476190476190476,0.19471664401729816,0.01283296770589383,0.443042264099907,0.07396689328029471,0.22994057695266185,0.045500653943944515
6Z6IyosSMciZtwk8hRLRag,China Mama Restaurant,Las Vegas,Chinatown,36.126874969,-115.224667684,chinese,2.0,3.886861313868613,0.1410261715288892,0.02415071962481484,0.14305809620601795,0.3450360201183308,0.32233379789048905,0.024395194631457985
6_KCUxu2kOgP-pRnSNXG8Q,Food Express,Las Vegas,,36.142781899999996,-115.1747468,chinese,2.0,3.55,0.20873608735664245,0.014768759387488372,0.15136484051614985,0.14733085656003878,0.45573561714852867,0.022063839031151774
6bYgKI5JaQmS2xDoofS6cQ,USS Fish N Chips,Las Vegas,,36.2185836,-115.09275819999999,chinese,1.0,4.303030303030303,0.15543710960642743,0.0076173571309248,0.24418963791505374,0.11117013914944007,0.4375934632501626,0.04399229294799141
6s7uduX1Q1KSjOKvwxYkRA,Koji Sushi Bar and China Bistro,Las Vegas,,36.1022995155,-115.202450641,chinese,2.0,3.791044776119403,0.15509425516820644,0.007369908346983059,0.1638051906721619,0.10345149366228551,0.5601786945629443,0.010100457587418545
6z3cgIE9dJ01wUm43f0yBQ,Fat Dumpling,Las Vegas,Chinatown,36.1260967,-115.1925818,chinese,1.0,3.954022988505747,0.13091727718542673,0.04908598188735841,0.20502707237599768,0.21960078791253404,0.33224453596926556,0.06312434466941767
7BZ2NdkysVLgWScSEvhILQ,chow.,Las Vegas,Downtown,36.166666,-115.13440459999998,chinese,2.0,4.367521367521367,0.35862732909339096,0.007375949569210246,0.276625671335436,0.036049067414668255,0.29644881094871306,0.02487317163858128
7GfA5WMSRd-JCaPxnwgIQw,Panda Express,Las Vegas,Chinatown,36.1252875,-115.24620279999999,chinese,1.0,4.0,0.22652534466034663,0.00920163806307223,0.2540376762133182,0.04138935363230484,0.4661025233591634,0.0027434640717947656
7WHAdFHiHLmNJN72M_AKYQ,Dumpling And Noodle House,Las Vegas,The Strip,36.1120791234,-115.171487974,chinese,2.0,3.739130434782609,0.08683134359963197,0.058010211314345736,0.24229025266201937,0.2606699033431662,0.3063671928858094,0.045831096195027364
